	poeder/noun	laag_DIM/noun	berusting/noun	theater_zaal/noun	lijden/noun	veeleer/adv	die/det	klank/noun	toon/noun	zucht/noun	schoen/noun	streep/noun	knal/noun	opgenomen/adj	koper/noun	enigszins/adv	teleurstelling/noun	o/noun	sfeer/noun	zo/adv	klinker/noun	het/det	leegte/noun	oppervlak/noun	bewust/adj	signaal/noun	kleur/noun	huid/noun	haar/noun	klop/noun	papier/noun	razernij/noun	geluid/noun	verf/noun	zang_stem/noun	en/vg	punt/noun	kunststof/noun	gelatenheid/noun	indruk/noun	verkeer_ellende/noun	kort/adj	slag/noun	herhaling/noun	voorstelling/noun	kijker/noun	ellende/noun	blazoen/noun	Marat/name	wat/adv	blad/noun	beetje/noun	beton_blok/noun	glans/noun	te/adv	schoot/noun	trom/noun	poging/noun	oog/noun	e/noun	blik/noun	klik/noun	explosie/noun	verdriet/noun	ik/pron	tamelijk/adj	dreun/noun	Ahmet/name	ze/pron	ritme/noun	oog_DIM/noun	lethargie/noun	variant/noun	zwart/noun	werkelijkheid/noun	klap/noun	dikwijls/adj	gevoel/noun	pijn/noun	miserie/noun	schot/noun	heerlijk/adj	kreet/noun
zo/adv	0.8474442	0.82100374	0.84987056	0.877294	0.8354626	0.7133845	0.7058457	0.7083699	0.67545855	0.8308915	0.8370452	0.8703826	0.8368918	0.8677893	0.83509934	0.66831505	0.8093434	0.84129703	0.72589755	0.0	0.8464796	0.83733696	0.7883478	0.7737258	0.8152774	0.8355555	0.7809366	0.78475624	0.82146966	0.8913338	0.8241822	0.8627538	0.7140858	0.8293531	0.83152574	0.7344121	0.8950238	0.8361918	0.8658321	0.7414145	0.9017605	0.86687195	0.93329924	0.82190216	0.7692739	0.76838195	0.7979285	0.88771665	0.9257795	0.52224755	0.800222	0.61089796	0.92425644	0.83235574	0.5215517	0.8602344	0.88092256	0.86101174	0.8063032	0.88831025	0.7219572	0.8425527	0.86491126	0.7939878	0.6030623	0.5344301	0.84199005	0.9040999	0.6066388	0.75307155	0.8611709	0.9072814	0.74019784	0.8374362	0.70488906	0.88873035	0.6784779	0.73856974	0.817626	0.83119464	0.8762322	0.7470699	0.7566613
klinker/noun	0.83193195	0.72414947	0.92830026	0.8732382	0.91969013	0.84597206	0.8233936	0.78170884	0.8557086	0.8617568	0.7976013	0.7539768	0.8595574	0.8892105	0.8723252	0.85821146	0.9037324	0.8283685	0.8754542	0.8464796	0.0	0.8334658	0.84959453	0.7499627	0.9118301	0.9089896	0.74068093	0.7927682	0.7903986	0.929773	0.79379225	0.915648	0.81549037	0.72033465	0.91346145	0.76749635	0.92171204	0.7373254	0.9256113	0.91154253	0.8916774	0.9047997	0.9194721	0.9005932	0.8833072	0.92192733	0.8900271	0.9195758	0.95060897	0.82425165	0.8399778	0.867061	0.75308317	0.8603202	0.8358587	0.88396466	0.93333024	0.93524015	0.82795715	0.81639236	0.8415362	0.8697329	0.8763813	0.89623517	0.9135451	0.82733387	0.882745	0.9450779	0.84933144	0.8131271	0.88383406	0.9180771	0.8304399	0.82861775	0.8648743	0.88913786	0.81204355	0.91005516	0.90451133	0.8796009	0.8935703	0.8182949	0.86119163
het/det	0.84571224	0.8329982	0.86054045	0.83213985	0.8327136	0.76084834	0.8673604	0.8159156	0.8505077	0.8412063	0.8705997	0.8534474	0.86101305	0.785384	0.8285047	0.7848844	0.85130566	0.86769503	0.8056024	0.83733696	0.8334658	0.0	0.7929758	0.82500255	0.8294552	0.8630723	0.8009964	0.8466662	0.879316	0.9134629	0.848157	0.8794267	0.8233366	0.8018418	0.8925184	0.7245643	0.88930184	0.83451205	0.8904971	0.9053456	0.89350396	0.8735657	0.90219903	0.82639	0.80691284	0.8566273	0.83556795	0.8714584	0.92712396	0.83557355	0.84186304	0.83995396	0.8475022	0.82240546	0.8679104	0.8445625	0.8880658	0.84544605	0.88114893	0.86689854	0.84819096	0.8449441	0.80210936	0.85245323	0.8928155	0.7845204	0.8611599	0.9071716	0.82931364	0.84655166	0.8900638	0.91759056	0.80461544	0.83668417	0.8161068	0.873572	0.7599344	0.8766167	0.8805884	0.8321429	0.9066571	0.819795	0.83744144
leegte/noun	0.8421767	0.76591104	0.7473488	0.83518463	0.7224094	0.70798635	0.7552506	0.694559	0.76274157	0.7655385	0.8495989	0.8612082	0.8173435	0.8469531	0.8772773	0.76146406	0.7437403	0.846061	0.725502	0.7883478	0.84959453	0.7929758	0.0	0.78374684	0.82580113	0.87254107	0.74868906	0.79985994	0.83349013	0.91175956	0.85097545	0.7950166	0.719421	0.78962123	0.87763095	0.6901895	0.93639237	0.8527498	0.82040584	0.81054705	0.90555704	0.89524853	0.9387475	0.8236141	0.7954823	0.8363133	0.69839793	0.8920506	0.9371542	0.8015141	0.84983253	0.77448034	0.865061	0.8220165	0.8360528	0.8407577	0.9011128	0.85776675	0.7927195	0.9190926	0.73006463	0.8606489	0.8195976	0.6388095	0.81070375	0.7545852	0.8444426	0.9408895	0.76729363	0.78875256	0.86783975	0.84107316	0.8109689	0.8204503	0.7062123	0.86883837	0.7467796	0.6758615	0.7193686	0.7903545	0.9101947	0.79128814	0.7198744
oppervlak/noun	0.6991931	0.5862913	0.89819795	0.8627605	0.8952135	0.7903861	0.7627996	0.7088468	0.8230336	0.85825384	0.7827455	0.78027624	0.80462486	0.86528826	0.8259772	0.7802892	0.87890816	0.8850869	0.8415731	0.7737258	0.7499627	0.82500255	0.78374684	0.0	0.87922	0.8488424	0.6432017	0.5972653	0.7129246	0.9031911	0.7549665	0.8875751	0.6900544	0.62330174	0.9072548	0.6859502	0.93039227	0.6524111	0.9303299	0.89820826	0.91115344	0.8921835	0.9249858	0.8735669	0.85453224	0.8754477	0.83779	0.91914064	0.9558186	0.7710361	0.77601266	0.83172166	0.81837815	0.81053674	0.80294746	0.8578745	0.91281396	0.9136305	0.7582189	0.894733	0.7498577	0.843292	0.796147	0.84642226	0.90768373	0.73715657	0.8558776	0.9510858	0.8080246	0.77252203	0.8553741	0.9241813	0.7872203	0.81093043	0.7609823	0.87305534	0.78250957	0.86195254	0.88068223	0.8577952	0.8832383	0.79586405	0.8300087
bewust/adj	0.88668925	0.8975255	0.88521624	0.92552835	0.82444626	0.70435864	0.6947192	0.8400029	0.841675	0.8678706	0.90893316	0.90898436	0.90044236	0.82792175	0.8372192	0.7987831	0.8678442	0.88696927	0.84924316	0.8152774	0.9118301	0.8294552	0.82580113	0.87922	0.0	0.79423964	0.85623133	0.8698771	0.93310905	0.9461497	0.89622116	0.88165355	0.8398798	0.8522761	0.9238461	0.74891883	0.94146013	0.8823947	0.9060439	0.84868515	0.92381287	0.8871673	0.9338426	0.79663485	0.82647395	0.81613433	0.85002714	0.8872534	0.95011497	0.80473936	0.8645354	0.8292841	0.89468974	0.88304687	0.8011695	0.89184326	0.9333293	0.8463132	0.8701137	0.92274356	0.8460654	0.89567685	0.85810816	0.83784986	0.8349586	0.7932323	0.9199629	0.9309871	0.77156866	0.8538245	0.8997805	0.91128474	0.8685558	0.8646847	0.789461	0.92889076	0.7207147	0.8134591	0.87509346	0.86224365	0.9132569	0.89681727	0.83290064
signaal/noun	0.8739128	0.89824975	0.88194853	0.94989514	0.8830062	0.78939396	0.79730844	0.80429274	0.8265364	0.8695048	0.93423325	0.91035175	0.8916132	0.86150426	0.8435009	0.82042164	0.8383854	0.92444885	0.86823064	0.8355555	0.9089896	0.8630723	0.87254107	0.8488424	0.79423964	0.0	0.8656829	0.88550806	0.930111	0.91332775	0.8827845	0.8994589	0.690925	0.901982	0.9333352	0.787817	0.92584103	0.905532	0.8768797	0.8102612	0.92875886	0.9221341	0.93599147	0.8518888	0.8817552	0.8497113	0.8769943	0.89113474	0.95805395	0.87204427	0.9243731	0.8826902	0.93502045	0.8881303	0.86071813	0.9106706	0.91358477	0.8290399	0.87967944	0.9361181	0.8631164	0.8767809	0.8403381	0.8716798	0.888948	0.83788556	0.88098997	0.96360254	0.82391644	0.8415039	0.91029525	0.91831005	0.8647219	0.8840471	0.8602197	0.8907823	0.8034601	0.7975276	0.8922279	0.89603895	0.90804094	0.93967956	0.8032026
kleur/noun	0.7425344	0.59341514	0.83715993	0.8710953	0.87632996	0.69791096	0.7535549	0.5623297	0.652348	0.8344702	0.67031276	0.69104797	0.85257125	0.81629604	0.8130313	0.7729732	0.8749243	0.82848173	0.68997127	0.7809366	0.74068093	0.8009964	0.74868906	0.6432017	0.85623133	0.8656829	0.0	0.6440114	0.63378155	0.9189716	0.72506404	0.89502776	0.6107068	0.52952415	0.8249761	0.58277917	0.94448215	0.63608193	0.873957	0.84497714	0.94800144	0.84124017	0.94313896	0.84480596	0.73762655	0.85262144	0.86826503	0.9024258	0.93089104	0.7325162	0.73050505	0.79413414	0.8850218	0.65965104	0.81532913	0.8483938	0.8579997	0.9410828	0.7431239	0.8414198	0.6926694	0.8472311	0.8411902	0.8418356	0.8945913	0.71216345	0.8667351	0.94460636	0.81428254	0.654004	0.8266338	0.90658545	0.6967659	0.5331241	0.7522343	0.9350182	0.7622342	0.78593695	0.8925421	0.89029104	0.921167	0.6684175	0.7631715
huid/noun	0.6838216	0.57821786	0.8878164	0.8886963	0.858759	0.8031051	0.79253197	0.7503575	0.8176617	0.84020853	0.6804764	0.7512019	0.8317865	0.85570335	0.8460411	0.78373796	0.8735179	0.8654655	0.84214664	0.78475624	0.7927682	0.8466662	0.79985994	0.5972653	0.8698771	0.88550806	0.6440114	0.0	0.49037582	0.8903869	0.7306692	0.8811175	0.739161	0.58170044	0.8811211	0.6349231	0.941556	0.64099145	0.912922	0.87081254	0.9496834	0.87327063	0.91367453	0.9016825	0.865836	0.86369723	0.8376103	0.8666402	0.9277753	0.7437281	0.7630954	0.7892131	0.87615955	0.7786249	0.7766551	0.7894261	0.91515493	0.91635245	0.6190011	0.9004205	0.7242232	0.86707294	0.84589493	0.8208551	0.8736538	0.7649386	0.85011184	0.9447369	0.7392456	0.808058	0.76326084	0.9351585	0.77780044	0.71593654	0.7994714	0.8695392	0.79009557	0.8471904	0.7373973	0.83812255	0.8841387	0.75878346	0.80704373
haar/noun	0.71068037	0.63796407	0.881399	0.90733814	0.90711904	0.838135	0.82259786	0.8023895	0.8269286	0.85347694	0.58359134	0.67636526	0.8296792	0.8907198	0.8882684	0.8273257	0.9059545	0.88181067	0.8921439	0.82146966	0.7903986	0.879316	0.83349013	0.7129246	0.93310905	0.930111	0.63378155	0.49037582	0.0	0.87348735	0.7747014	0.86889815	0.7945664	0.62626344	0.91174054	0.6701887	0.9415949	0.7382677	0.9243575	0.8939283	0.9358432	0.82843596	0.9366315	0.9274592	0.89760774	0.89002204	0.8660721	0.9032268	0.9213557	0.7328524	0.7729608	0.7707968	0.88093156	0.7699791	0.8084681	0.78830886	0.9116203	0.935198	0.5981268	0.90796924	0.69149464	0.8840865	0.89000386	0.85947967	0.85278827	0.80456847	0.87561536	0.94998693	0.73119366	0.8273189	0.75308955	0.93725044	0.81737936	0.66786504	0.86608016	0.8887265	0.82672924	0.8917566	0.7990384	0.85712564	0.88369477	0.7805786	0.8060619
klop/noun	0.88176894	0.8708399	0.9248741	0.94951487	0.9075657	0.9108985	0.8768721	0.9088563	0.9173225	0.9028686	0.9016421	0.86014736	0.8660612	0.9076067	0.92000663	0.8849335	0.90768844	0.91017944	0.914847	0.8913338	0.929773	0.9134629	0.91175956	0.9031911	0.9461497	0.91332775	0.9189716	0.8903869	0.87348735	0.0	0.8926363	0.9160608	0.88904864	0.8987326	0.94842875	0.846243	0.93022805	0.89088815	0.9190003	0.9037012	0.9025739	0.93915	0.8757518	0.9251341	0.933098	0.9128753	0.89888376	0.94096506	0.87245524	0.8771039	0.9249184	0.86588216	0.90681046	0.9019402	0.888293	0.87259555	0.8871196	0.9307971	0.8908267	0.9339223	0.8972814	0.90615034	0.9082643	0.89828575	0.85529304	0.8907439	0.77731764	0.9368818	0.831623	0.8885521	0.91818273	0.9231125	0.91199815	0.8938713	0.9356221	0.82804143	0.88737524	0.92564076	0.8470633	0.8940497	0.8929181	0.88602674	0.8947924
papier/noun	0.6979945	0.73968613	0.9384451	0.89220184	0.90718323	0.8375877	0.76514846	0.8182219	0.8714602	0.8849582	0.7245969	0.8160259	0.8860882	0.8265062	0.7530533	0.8650159	0.8987932	0.8951535	0.90799505	0.8241822	0.79379225	0.848157	0.85097545	0.7549665	0.89622116	0.8827845	0.72506404	0.7306692	0.7747014	0.8926363	0.0	0.91350025	0.8188119	0.6309427	0.93236524	0.72282755	0.8995558	0.68797237	0.9439991	0.89284474	0.92375356	0.8959829	0.9351341	0.9104748	0.86843354	0.89415216	0.8871367	0.92454004	0.92884386	0.84069383	0.738501	0.8780297	0.8294009	0.8446953	0.84805727	0.8504039	0.9363919	0.9185684	0.8521762	0.88755316	0.8083287	0.8465719	0.8764174	0.8897835	0.8822438	0.8018609	0.9049873	0.9143457	0.74132	0.8679953	0.8793302	0.948967	0.8270467	0.7846891	0.83914596	0.9106793	0.81128466	0.9016267	0.9287403	0.88943195	0.9183159	0.84120333	0.8706044
razernij/noun	0.8987157	0.9002993	0.7880798	0.92035186	0.81164265	0.8121619	0.846528	0.83946157	0.83954716	0.8352838	0.92070615	0.923315	0.8549783	0.8884026	0.9278053	0.8623904	0.77095807	0.8807963	0.8492132	0.8627538	0.915648	0.8794267	0.7950166	0.8875751	0.88165355	0.8994589	0.89502776	0.8811175	0.86889815	0.9160608	0.91350025	0.0	0.84515935	0.8878574	0.9230392	0.7735018	0.9632375	0.920878	0.83020806	0.9026423	0.91983545	0.91789824	0.9405828	0.86279833	0.88462603	0.8884215	0.74988496	0.91104144	0.9253438	0.87400025	0.90112615	0.8682489	0.9079201	0.89715374	0.8825959	0.85546714	0.9253192	0.82379204	0.8325224	0.93032116	0.82190704	0.9093643	0.8187839	0.7003006	0.88115835	0.83864653	0.8912378	0.90400875	0.8172512	0.85049385	0.8995295	0.8624086	0.873844	0.8939681	0.85974586	0.8962378	0.783998	0.7771988	0.8094608	0.84572285	0.8976573	0.8689564	0.75137985
geluid/noun	0.7961788	0.7471422	0.82663476	0.848844	0.82784367	0.7208709	0.73196137	0.37999225	0.577083	0.7628623	0.83085454	0.84856576	0.72645974	0.7183572	0.82273996	0.7078147	0.8457582	0.8332404	0.64372647	0.7140858	0.81549037	0.8233366	0.719421	0.6900544	0.8398798	0.690925	0.6107068	0.739161	0.7945664	0.88904864	0.8188119	0.84515935	0.0	0.74347156	0.7673265	0.61579335	0.94418395	0.7564864	0.8633459	0.7888197	0.89739853	0.8747489	0.9532177	0.80747783	0.72360015	0.7857499	0.81299	0.9249562	0.9416523	0.70418	0.81096274	0.74743676	0.860712	0.77672374	0.7874942	0.8305866	0.80579436	0.882254	0.7875748	0.8559559	0.68086314	0.7981212	0.743093	0.7989507	0.83491963	0.67138076	0.8006448	0.94515586	0.77248704	0.56091064	0.85680777	0.87118447	0.7440337	0.79724646	0.7494345	0.8766291	0.72864634	0.70873356	0.850896	0.84562033	0.8626805	0.7035933	0.6633842
verf/noun	0.6526278	0.5531633	0.89807254	0.8800784	0.8808913	0.7945154	0.77769864	0.735824	0.82513714	0.85687053	0.6646182	0.6774738	0.80848134	0.8466091	0.77515924	0.8160913	0.87904716	0.8683317	0.8586179	0.8293531	0.72033465	0.8018418	0.78962123	0.62330174	0.8522761	0.901982	0.52952415	0.58170044	0.62626344	0.8987326	0.6309427	0.8878574	0.74347156	0.0	0.90142566	0.6342399	0.9280245	0.599496	0.9203659	0.8868212	0.914338	0.89299375	0.92950964	0.8740111	0.82803106	0.8783848	0.8500893	0.89548856	0.953511	0.8042141	0.7428602	0.8437835	0.78100556	0.7517034	0.8255443	0.81734824	0.90564734	0.9164967	0.75367993	0.87907714	0.7190809	0.8760851	0.8080456	0.86020434	0.90138197	0.7768751	0.86494726	0.9249893	0.7856478	0.7905525	0.8228107	0.93237156	0.7830262	0.6824162	0.81160676	0.8810951	0.7632108	0.88067794	0.8855012	0.8564368	0.8903168	0.7495676	0.8012535
zang_stem/noun	0.9354515	0.8862314	0.8743074	0.9204117	0.9190624	0.86375093	0.89173716	0.733822	0.80591494	0.9151663	0.9397679	0.95757836	0.9232577	0.8702295	0.91945356	0.85689354	0.9305257	0.9021009	0.8488388	0.83152574	0.91346145	0.8925184	0.87763095	0.9072548	0.9238461	0.9333352	0.8249761	0.8811211	0.91174054	0.94842875	0.93236524	0.9230392	0.7673265	0.90142566	0.0	0.8336273	0.9622541	0.91779727	0.9194937	0.87994665	0.9445586	0.92149925	0.9502176	0.925454	0.86084616	0.91105884	0.89992315	0.9586155	0.928656	0.83873844	0.931781	0.894945	0.9479788	0.8793246	0.8719939	0.89753485	0.92110723	0.9299488	0.87872946	0.9638521	0.88085747	0.9286563	0.92989886	0.886676	0.8887546	0.81065285	0.91784585	0.9430449	0.8873974	0.7850127	0.935456	0.9272971	0.85762787	0.8984531	0.8928333	0.9441346	0.8640696	0.86281884	0.9227557	0.91601646	0.945503	0.8342573	0.88217896
en/vg	0.70083994	0.6311437	0.7859504	0.7937632	0.730486	0.57840806	0.7086248	0.58845925	0.6750711	0.7118778	0.6866777	0.7653147	0.7642672	0.707521	0.73749226	0.7191542	0.78600806	0.80142283	0.69382536	0.7344121	0.76749635	0.7245643	0.6901895	0.6859502	0.74891883	0.787817	0.58277917	0.6349231	0.6701887	0.846243	0.72282755	0.7735018	0.61579335	0.6342399	0.8336273	0.0	0.89910483	0.6678735	0.83564943	0.80380166	0.90939367	0.81952643	0.8310746	0.8127489	0.7141896	0.80771255	0.7274978	0.8516108	0.89208424	0.66099644	0.733175	0.6940371	0.7905891	0.7372111	0.70759183	0.72220147	0.8140415	0.77645665	0.7338097	0.8046652	0.64492023	0.8042209	0.73377705	0.70654774	0.812845	0.639742	0.80648565	0.8452748	0.6519939	0.62814075	0.75630635	0.8689472	0.6682321	0.66141415	0.7459097	0.8092758	0.5857686	0.72504276	0.7564453	0.7786974	0.83679956	0.56681216	0.6901376
punt/noun	0.9386688	0.9431017	0.93364656	0.9460965	0.9494804	0.91458094	0.8534813	0.94149864	0.9359077	0.8744824	0.91821975	0.8123271	0.88782066	0.9327685	0.91060245	0.848958	0.8734682	0.9408492	0.94621843	0.8950238	0.92171204	0.88930184	0.93639237	0.93039227	0.94146013	0.92584103	0.94448215	0.941556	0.9415949	0.93022805	0.8995558	0.9632375	0.94418395	0.9280245	0.9622541	0.89910483	0.0	0.9421764	0.93405104	0.92874885	0.9606638	0.9542771	0.8232181	0.93581325	0.94027627	0.88409555	0.9397336	0.9429234	0.8877641	0.8829689	0.94362974	0.9317679	0.94765174	0.85360897	0.8800933	0.87341005	0.9472196	0.9021195	0.9389953	0.91857284	0.9479543	0.92855424	0.94443285	0.93252534	0.9225105	0.91272444	0.8616151	0.91155404	0.8964309	0.91774297	0.9428365	0.93994653	0.93200403	0.90672296	0.9263945	0.87559426	0.89147174	0.9135988	0.94534224	0.94454414	0.8374851	0.9614372	0.9392183
kunststof/noun	0.72909504	0.61126447	0.8838834	0.87903047	0.9055846	0.81273866	0.7945649	0.7770502	0.8686223	0.90026057	0.7171405	0.81132656	0.8775294	0.8646101	0.7740934	0.84604675	0.9041436	0.9106356	0.86271507	0.8361918	0.7373254	0.83451205	0.8527498	0.6524111	0.8823947	0.905532	0.63608193	0.64099145	0.7382677	0.89088815	0.68797237	0.920878	0.7564864	0.599496	0.91779727	0.6678735	0.9421764	0.0	0.9160311	0.9271626	0.94010895	0.8741553	0.9401014	0.9094061	0.870348	0.9100914	0.8897082	0.9378844	0.9488257	0.8000362	0.805832	0.86581457	0.79300606	0.82688963	0.8377858	0.84715635	0.91109514	0.9394676	0.8505376	0.8823539	0.8078546	0.88052297	0.86909217	0.8857186	0.91932446	0.7924135	0.8732594	0.9493881	0.8283617	0.81549597	0.8578584	0.9331338	0.77509755	0.7468751	0.8645919	0.9046456	0.8227192	0.9142909	0.90833884	0.90723	0.9109136	0.80539095	0.8652065
gelatenheid/noun	0.9075388	0.923475	0.6617569	0.9252218	0.8432202	0.82282525	0.8164918	0.8552703	0.80550396	0.83917177	0.9441994	0.9217847	0.9066018	0.92277825	0.9381821	0.8508676	0.7046264	0.93728775	0.7600687	0.8658321	0.9256113	0.8904971	0.82040584	0.9303299	0.9060439	0.8768797	0.873957	0.912922	0.9243575	0.9190003	0.9439991	0.83020806	0.8633459	0.9203659	0.9194937	0.83564943	0.93405104	0.9160311	0.0	0.8715627	0.9419707	0.9094973	0.93933916	0.8702284	0.8978903	0.88192856	0.806234	0.94804883	0.92271215	0.89114547	0.90702945	0.8837562	0.93492246	0.87031555	0.89892995	0.91259533	0.9228104	0.911601	0.86619866	0.94532216	0.84042156	0.9298991	0.8856547	0.73481494	0.8518446	0.8610234	0.91996396	0.93735653	0.8571882	0.8438004	0.9063616	0.846838	0.90495896	0.8990431	0.8682542	0.9200667	0.8296083	0.7383254	0.82084733	0.8530247	0.92618394	0.8806476	0.8570246
indruk/noun	0.9302703	0.897996	0.85543984	0.9167244	0.8769573	0.76632845	0.8461417	0.77272946	0.7317844	0.85386	0.9224162	0.91929334	0.9052011	0.8629969	0.9064246	0.75050443	0.81860447	0.9345325	0.7266375	0.7414145	0.91154253	0.9053456	0.81054705	0.89820826	0.84868515	0.8102612	0.84497714	0.87081254	0.8939283	0.9037012	0.89284474	0.9026423	0.7888197	0.8868212	0.87994665	0.80380166	0.92874885	0.9271626	0.8715627	0.0	0.9339522	0.9114712	0.91955066	0.8647827	0.81220937	0.8465249	0.8628365	0.8841978	0.9119735	0.73013556	0.9121216	0.794191	0.936923	0.8385929	0.792214	0.89255106	0.9484678	0.8953975	0.81382096	0.93012923	0.7782115	0.93215495	0.9111075	0.8388637	0.85562724	0.71927035	0.85394573	0.94267064	0.8446736	0.80975354	0.90994394	0.8579399	0.8612398	0.8856558	0.8362509	0.90260035	0.7853539	0.70722103	0.87584186	0.89861834	0.92049915	0.8456602	0.83231735
