	gesprek/noun	zogezegd/adj	bezinning/noun	verkiezingsnederlaag/noun	water/noun	demonstratie/noun	pedagoog/noun	bijzonder/adj	cyclus/noun	omgeving/noun	rust_periode/noun	bad/noun	die/det	verlaging/noun	voorteken/noun	onderhandeling/noun	behandeling/noun	tik/noun	hoe/adj	kritiek/noun	thee/noun	invloed/noun	samenstelling/noun	verschuiving/noun	eigenschap/noun	buitengewoon/adj	zo/adv	dynamiek/noun	evolutie/noun	interesse/noun	het/det	gevolg/noun	rust/noun	advies/noun	commissie/noun	effect/noun	min/adj	heel/adj	Haring/name	weg/noun	bestanddeel/noun	ontnuchtering/noun	concurrentie/noun	vuur/noun	nederlaag/noun	schok/noun	sanering/noun	periode/noun	verplichting/noun	begrotingstekort/noun	uitwerking/noun	oppositie/noun	erg/adj	reflecteer/verb	boodschap/noun	het/noun	functie/noun	dat/comp	klimaat/noun	kracht/noun	medisch/adj	samenwerking/noun	alternatief/noun	toepassing/noun	wending/noun	muziek/noun	dat/det	les/noun	ander/adj	werk/noun	suggestie/noun	compensatie/noun	werking/noun	zeer/adv	cluster/noun	christendom/noun	of/vg	werkelijkheid/noun
gesprek/noun	0.0	0.88520956	0.84461373	0.91975796	0.95432657	0.79359007	0.85717565	0.8584391	0.8398201	0.91949713	0.8979943	0.91335493	0.8634764	0.9053863	0.89342123	0.4697395	0.8121612	0.9253018	0.8564729	0.84085095	0.89518225	0.8780274	0.8788629	0.8519256	0.8884963	0.83424723	0.8459795	0.8986659	0.84826666	0.82979107	0.8803785	0.9103828	0.93241024	0.80600977	0.8338499	0.923493	0.89694965	0.8764073	0.90515715	0.9272333	0.9301293	0.90095466	0.8996028	0.9297197	0.92895275	0.8997585	0.8249158	0.87735415	0.84406734	0.922757	0.8288269	0.85297644	0.888332	0.8986954	0.8384118	0.92083037	0.8520863	0.83239233	0.89917237	0.9403902	0.8639539	0.70676005	0.9088021	0.8798811	0.85906065	0.8654767	0.8762276	0.83168703	0.8606086	0.8171667	0.7983635	0.89041924	0.89073575	0.8162943	0.8978857	0.8888013	0.8704633	0.8902782
zogezegd/adj	0.88520956	0.0	0.8455299	0.89647716	0.85026217	0.819937	0.8746154	0.80536664	0.8568562	0.81174165	0.900434	0.828663	0.72736555	0.8665939	0.86601824	0.8784457	0.81710434	0.87526745	0.82021976	0.8590847	0.8417029	0.83451194	0.84644544	0.8176023	0.7947571	0.7861333	0.80495596	0.8320685	0.83602643	0.86425054	0.79492694	0.84729755	0.87497854	0.85667694	0.8509701	0.8381743	0.7915026	0.81110734	0.903756	0.8663746	0.8247317	0.918082	0.8568332	0.8738955	0.8796349	0.85568345	0.84513915	0.8767131	0.8099164	0.8803972	0.8145592	0.838595	0.816688	0.8407105	0.7987238	0.87825304	0.8351456	0.81527704	0.8260294	0.8206949	0.8062129	0.86579734	0.8180864	0.7990694	0.8431889	0.83805877	0.81622154	0.862603	0.7681761	0.84485483	0.8019004	0.8106897	0.82008475	0.79630697	0.8775302	0.8245841	0.65784216	0.82453734
bezinning/noun	0.84461373	0.8455299	0.0	0.8775433	0.9075999	0.8315949	0.8750348	0.8263903	0.8418886	0.8585798	0.86711603	0.86726934	0.77072215	0.8816854	0.86165315	0.85282886	0.83169746	0.90105385	0.8620869	0.8352908	0.90914595	0.8462485	0.8813401	0.8166646	0.8377253	0.8430605	0.8745003	0.78204626	0.81331885	0.857921	0.8391446	0.87747824	0.8425653	0.85590726	0.8459821	0.8517554	0.85790706	0.8738817	0.8980615	0.9296497	0.8703266	0.8644242	0.8866595	0.94967747	0.9153857	0.8409578	0.8308293	0.8706974	0.86996174	0.8839	0.8156063	0.83515835	0.8653897	0.8131322	0.8379476	0.8979866	0.84782	0.8463417	0.8003896	0.80079615	0.8353338	0.8078993	0.85179245	0.8232658	0.82253563	0.8306776	0.8338913	0.8412857	0.84701174	0.8568307	0.8252442	0.86169416	0.85058355	0.8285895	0.86161596	0.7955475	0.83142257	0.8405967
verkiezingsnederlaag/noun	0.91975796	0.89647716	0.8775433	0.0	0.9412147	0.8427831	0.9065612	0.8896266	0.8658312	0.92541206	0.9190619	0.9423998	0.8433483	0.8568624	0.90892	0.88869774	0.91597	0.85997623	0.88845366	0.79919624	0.9358592	0.8882685	0.8974656	0.8246801	0.9264419	0.8810541	0.8894083	0.86581415	0.8601671	0.9367371	0.9012115	0.8393052	0.93237656	0.90572333	0.86138755	0.8834021	0.86771846	0.9215506	0.9585991	0.9407971	0.92664915	0.9031241	0.88052344	0.91520876	0.6205155	0.8092159	0.8259608	0.8790718	0.94456106	0.8555355	0.8887031	0.7465537	0.88464355	0.9089545	0.9128804	0.91852754	0.9065153	0.8558271	0.86297506	0.8858773	0.9207159	0.8582655	0.91246676	0.92901933	0.86365396	0.95063186	0.87299186	0.9116721	0.92111164	0.92138934	0.87979174	0.9032888	0.90218407	0.8777939	0.91764754	0.9122287	0.9230939	0.9063254
water/noun	0.95432657	0.85026217	0.9075999	0.9412147	0.0	0.902524	0.9470105	0.8915612	0.87281114	0.765835	0.9275705	0.5666425	0.8395964	0.91730565	0.9333849	0.9462337	0.94069016	0.8711069	0.8855202	0.9151826	0.6071825	0.8984798	0.8607936	0.88617384	0.81883097	0.9166186	0.8543825	0.8760156	0.89334035	0.9337661	0.80145556	0.9088986	0.8947362	0.95626855	0.96615404	0.87139064	0.86055416	0.8340509	0.8857043	0.74780214	0.76015425	0.9218161	0.8929825	0.6459527	0.9394311	0.84746337	0.8553072	0.90433604	0.93451285	0.9139764	0.91605264	0.9338007	0.88553065	0.8397166	0.9015511	0.9547666	0.93952763	0.96285194	0.8094295	0.84087956	0.90338904	0.95387757	0.8805459	0.87106943	0.9208462	0.888787	0.9255868	0.9468767	0.8628371	0.91934395	0.89176595	0.8683218	0.87164384	0.8574328	0.8906906	0.90434414	0.647805	0.8992872
demonstratie/noun	0.79359007	0.819937	0.8315949	0.8427831	0.902524	0.0	0.8980563	0.8506981	0.82154435	0.8540766	0.9353576	0.87941784	0.8434696	0.8832551	0.8721245	0.7790473	0.867501	0.8992824	0.8906332	0.803254	0.88986284	0.86405253	0.89660174	0.8408917	0.8639522	0.8547026	0.8776359	0.8460263	0.84173596	0.8590344	0.8353565	0.851047	0.91100484	0.8772931	0.89212406	0.87018025	0.8801686	0.87211406	0.91646576	0.8808929	0.91083044	0.9157324	0.89745635	0.8286756	0.8931216	0.84898627	0.8245958	0.8766652	0.8695345	0.8942733	0.8327199	0.718894	0.8919648	0.908903	0.8375002	0.9357107	0.91391593	0.89658535	0.8527237	0.8536927	0.8600399	0.8207023	0.86912215	0.8295479	0.87266105	0.8216585	0.8951918	0.7840352	0.8708641	0.86601526	0.8183067	0.8609921	0.8603605	0.8399282	0.90321743	0.8305509	0.8173518	0.88177407
pedagoog/noun	0.85717565	0.8746154	0.8750348	0.9065612	0.9470105	0.8980563	0.0	0.85651255	0.89198124	0.88368356	0.952798	0.9132766	0.8438443	0.9205021	0.9306402	0.92898434	0.87572485	0.9336717	0.81996346	0.86459327	0.93055135	0.89228755	0.8868194	0.8725803	0.8466393	0.82957137	0.847504	0.872379	0.8443699	0.8876724	0.8889384	0.90864396	0.935232	0.85380423	0.85286677	0.90070873	0.8620107	0.91033304	0.8827186	0.9633776	0.8987486	0.95789164	0.93075013	0.9328061	0.9270763	0.92316276	0.9165924	0.93794197	0.9107334	0.9200856	0.859902	0.8679226	0.85620785	0.8756572	0.9136474	0.9055647	0.858621	0.81834173	0.86740994	0.89284086	0.81354594	0.86654484	0.88026446	0.86378306	0.88933593	0.8600295	0.862562	0.8349646	0.8505667	0.86425173	0.85173637	0.9022089	0.8804554	0.82797843	0.8989131	0.85284936	0.86792207	0.8708367
bijzonder/adj	0.8584391	0.80536664	0.8263903	0.8896266	0.8915612	0.8506981	0.85651255	0.0	0.7939529	0.76844686	0.9075664	0.84932065	0.7219398	0.86842334	0.8427333	0.88535464	0.8232741	0.8762936	0.6865758	0.8200903	0.84348464	0.8228266	0.82564914	0.796466	0.6619032	0.3100276	0.5854292	0.7256814	0.73855263	0.81602514	0.8267708	0.83143926	0.88017875	0.85099494	0.87217927	0.792465	0.55972326	0.69883215	0.86828166	0.90575796	0.846067	0.8902309	0.87152684	0.937451	0.8614325	0.8346615	0.85550207	0.8152232	0.8843498	0.9109341	0.71464515	0.8734365	0.39763302	0.80962557	0.8203849	0.80411315	0.850296	0.8475623	0.7638121	0.79278326	0.8456198	0.83441454	0.82200205	0.7718815	0.70447326	0.7114346	0.7848289	0.84577465	0.7846653	0.74445784	0.78698665	0.86355066	0.80273676	0.34420836	0.8296566	0.8385123	0.79893184	0.7855201
cyclus/noun	0.8398201	0.8568562	0.8418886	0.8658312	0.87281114	0.82154435	0.89198124	0.7939529	0.0	0.84764814	0.847952	0.8449545	0.77936023	0.8602334	0.831578	0.82478744	0.8380609	0.89137036	0.8272743	0.88716424	0.9003533	0.82880604	0.82979804	0.80174476	0.80588394	0.79309356	0.81678426	0.76531696	0.7196036	0.82992053	0.7916991	0.8415985	0.88987136	0.8971567	0.88175464	0.8178431	0.83180046	0.8115418	0.883039	0.9036847	0.85254866	0.89689934	0.8893111	0.91043425	0.87051284	0.8035278	0.8169266	0.7735338	0.8693688	0.839481	0.7836738	0.89442116	0.8536138	0.82500476	0.8498291	0.9174073	0.8724491	0.9009899	0.77458525	0.8481412	0.8654343	0.81581616	0.8614505	0.8252414	0.77851665	0.75717336	0.8399687	0.834045	0.8539722	0.7639334	0.8410762	0.87222916	0.82563806	0.7909348	0.82619375	0.8270495	0.81707036	0.81765217
omgeving/noun	0.91949713	0.81174165	0.8585798	0.92541206	0.765835	0.8540766	0.88368356	0.76844686	0.84764814	0.0	0.9225822	0.7816032	0.8108596	0.91600055	0.8793821	0.92723626	0.873074	0.9200026	0.80414164	0.9102181	0.8769343	0.82388085	0.84088814	0.8341738	0.75779825	0.7871291	0.77454245	0.77890784	0.79589444	0.8603195	0.76514184	0.8487343	0.89123046	0.90321976	0.92854834	0.8059714	0.7880833	0.784624	0.89625204	0.76958406	0.85352767	0.9372274	0.86023355	0.85475755	0.93771756	0.8248076	0.8405644	0.8574002	0.8953418	0.93253106	0.8365207	0.9098496	0.78857255	0.8426529	0.8581581	0.91228276	0.8381032	0.9080333	0.68350756	0.84822965	0.8758829	0.8762396	0.8180514	0.8209808	0.85687494	0.8055973	0.862846	0.8905321	0.81706625	0.83169734	0.84164476	0.8488556	0.8032656	0.7354667	0.82524174	0.8497088	0.7596075	0.77775496
rust_periode/noun	0.8979943	0.900434	0.86711603	0.9190619	0.9275705	0.9353576	0.952798	0.9075664	0.847952	0.9225822	0.0	0.8910159	0.8613436	0.89797235	0.9309046	0.8834689	0.8192665	0.89107627	0.90360975	0.9445041	0.9414231	0.9270572	0.9010065	0.9019356	0.9135986	0.92828214	0.8820956	0.9201199	0.9136683	0.928568	0.9150893	0.92932296	0.7950447	0.9096059	0.92027116	0.89451945	0.89146376	0.8718225	0.9404783	0.9202852	0.92886627	0.92179	0.91714334	0.9439492	0.87670463	0.8776119	0.8693391	0.82509744	0.9230874	0.9007272	0.9050779	0.93303263	0.89149916	0.93072903	0.9535465	0.9015378	0.903934	0.8936523	0.9144512	0.9183201	0.8751507	0.89461565	0.9265494	0.89577967	0.88416266	0.9657413	0.8829796	0.9032472	0.91268146	0.9112235	0.93010545	0.8659795	0.9137807	0.8815442	0.9250872	0.9487965	0.89665335	0.9646297
bad/noun	0.91335493	0.828663	0.86726934	0.9423998	0.5666425	0.87941784	0.9132766	0.84932065	0.8449545	0.7816032	0.8910159	0.0	0.82900697	0.91270494	0.9261663	0.92439556	0.89661074	0.8734008	0.8671719	0.93963265	0.6947293	0.91464686	0.86229146	0.8910916	0.81240857	0.8536494	0.82765114	0.8655122	0.88711363	0.90600973	0.81028396	0.93138576	0.8749146	0.9284157	0.92847556	0.89927	0.86363375	0.8274632	0.8860986	0.8199957	0.8469575	0.92180556	0.9120608	0.7893155	0.931878	0.85289407	0.85918707	0.8884239	0.8973261	0.92715394	0.8842969	0.91948825	0.8603362	0.8329501	0.8668018	0.9326019	0.89193404	0.93412566	0.8390521	0.8869729	0.9004877	0.9281287	0.87560284	0.84392935	0.87680465	0.81920624	0.90138656	0.87872934	0.87145317	0.88085	0.8731078	0.88554454	0.8761357	0.8392684	0.8938774	0.88355	0.6669489	0.86388904
die/det	0.8634764	0.72736555	0.77072215	0.8433483	0.8395964	0.8434696	0.8438443	0.7219398	0.77936023	0.8108596	0.8613436	0.82900697	0.0	0.77548707	0.83854157	0.8323492	0.78898114	0.82801014	0.7054911	0.7825707	0.8440512	0.78331196	0.7531438	0.7373566	0.67978555	0.742823	0.7058457	0.6906228	0.71362096	0.8175254	0.8673604	0.7717774	0.80586004	0.8180548	0.78988975	0.74042946	0.7789109	0.72495055	0.8758238	0.8629644	0.7927567	0.85481864	0.80313134	0.89097023	0.85652614	0.77718467	0.8109306	0.8280436	0.734558	0.76465297	0.72863865	0.8047656	0.79390866	0.75740814	0.7774768	0.7903358	0.7956933	0.7012453	0.7717124	0.74897355	0.7747754	0.8148887	0.83859205	0.7314034	0.77284837	0.78347015	0.5996071	0.8347402	0.6504884	0.8196228	0.7166172	0.7721729	0.76638263	0.7617401	0.822152	0.74334717	0.7270824	0.6793237
verlaging/noun	0.9053863	0.8665939	0.8816854	0.8568624	0.91730565	0.8832551	0.9205021	0.86842334	0.8602334	0.91600055	0.89797235	0.91270494	0.77548707	0.0	0.90110016	0.7825217	0.7716736	0.8738986	0.9295188	0.86248755	0.9346878	0.8305044	0.8513062	0.6861674	0.8798669	0.82065076	0.8841937	0.8148918	0.7885219	0.87393516	0.8654575	0.7561666	0.9014791	0.83062714	0.8240833	0.6947704	0.78730977	0.92276716	0.9668801	0.9255918	0.89228445	0.92322147	0.80755067	0.9494444	0.8855854	0.86146307	0.6355624	0.85170007	0.7365657	0.6110399	0.8025114	0.8156851	0.90714073	0.91359985	0.914964	0.9266099	0.86764145	0.82776994	0.809958	0.8712268	0.8442076	0.77317107	0.8151883	0.77575696	0.886835	0.95126724	0.810796	0.9134057	0.8926817	0.87105715	0.841258	0.57385325	0.82736635	0.8465433	0.88186944	0.91227806	0.86179173	0.918607
voorteken/noun	0.89342123	0.86601824	0.86165315	0.90892	0.9333849	0.8721245	0.9306402	0.8427333	0.831578	0.8793821	0.9309046	0.9261663	0.83854157	0.90110016	0.0	0.87590456	0.90582484	0.91071165	0.85711	0.90550894	0.92248243	0.84305596	0.9037559	0.85060793	0.8619298	0.85522735	0.82638216	0.84241354	0.82475066	0.89381146	0.8549247	0.8426813	0.9002505	0.89062613	0.9075013	0.84376	0.817101	0.9039141	0.93402296	0.90920484	0.90014464	0.90864	0.9093954	0.9434047	0.88182396	0.8496472	0.8896821	0.84390116	0.91708475	0.8849028	0.83873785	0.8762269	0.84855	0.88261694	0.8583577	0.87905335	0.9149839	0.8401333	0.8211735	0.8546448	0.9143195	0.8877068	0.89578927	0.9043698	0.8263467	0.9046578	0.8493924	0.91639346	0.91237414	0.9120523	0.86189926	0.89807975	0.9076646	0.8378488	0.91053987	0.89115065	0.87371993	0.84982395
onderhandeling/noun	0.4697395	0.8784457	0.85282886	0.88869774	0.9462337	0.7790473	0.92898434	0.88535464	0.82478744	0.92723626	0.8834689	0.92439556	0.8323492	0.7825217	0.87590456	0.0	0.7840624	0.9292616	0.89365697	0.8614988	0.9444352	0.8488227	0.83457303	0.807827	0.9069539	0.86698455	0.8735951	0.862662	0.8226946	0.84820914	0.8252082	0.8144798	0.9081182	0.8230785	0.7768782	0.881766	0.89100385	0.8905608	0.9623317	0.88942546	0.9150348	0.9032075	0.86020947	0.91277915	0.91115725	0.8939034	0.6939019	0.85743254	0.7634184	0.8270589	0.77032053	0.7657505	0.89750296	0.92136776	0.90622044	0.9362338	0.8455757	0.8325808	0.8628403	0.91803044	0.87553334	0.6174581	0.853339	0.82455826	0.88873065	0.9482946	0.8579568	0.8859843	0.86341214	0.84343684	0.82800055	0.7830641	0.8289887	0.84281784	0.892096	0.904464	0.90675354	0.91648793
behandeling/noun	0.8121612	0.81710434	0.83169746	0.91597	0.94069016	0.867501	0.87572485	0.8232741	0.8380609	0.873074	0.8192665	0.89661074	0.78898114	0.7716736	0.90582484	0.7840624	0.0	0.8776263	0.8421069	0.8623255	0.91482836	0.8471608	0.80689967	0.8179465	0.788344	0.7965404	0.83709323	0.8524579	0.80302286	0.8913442	0.8478745	0.746263	0.8935888	0.7159438	0.75021815	0.7375134	0.79849815	0.8941215	0.94730914	0.92429113	0.82733744	0.9091778	0.86248803	0.93722427	0.9110456	0.8268297	0.75774944	0.852295	0.7608337	0.8424074	0.77531517	0.86130875	0.843218	0.90547603	0.88223755	0.8856072	0.83128667	0.8048625	0.8078901	0.896942	0.52102	0.781659	0.77086055	0.6751077	0.8636676	0.91267926	0.8186578	0.8383109	0.82844925	0.8052448	0.81217706	0.7461909	0.7238396	0.76113486	0.88274175	0.8966364	0.73986626	0.8830568
tik/noun	0.9253018	0.87526745	0.90105385	0.85997623	0.8711069	0.8992824	0.9336717	0.8762936	0.89137036	0.9200026	0.89107627	0.8734008	0.82801014	0.8738986	0.91071165	0.9292616	0.8776263	0.0	0.8921169	0.80734146	0.87804914	0.86961293	0.9094631	0.8742023	0.8643571	0.8781846	0.8664592	0.8419767	0.891837	0.9200294	0.87795174	0.8574824	0.83074355	0.9187434	0.93885493	0.8385321	0.85152185	0.8770853	0.9294801	0.92326707	0.9089297	0.9154547	0.84120625	0.88510484	0.7601592	0.7430289	0.8645761	0.8779267	0.9159641	0.8769491	0.8623127	0.89504385	0.855417	0.8993223	0.8640806	0.9267701	0.8983111	0.9092659	0.8646481	0.8663984	0.89009166	0.9259825	0.9105251	0.8896191	0.8703207	0.8976992	0.8508846	0.8800143	0.89668185	0.92275816	0.85550857	0.8541608	0.8987207	0.8506714	0.9092966	0.900838	0.8005685	0.90452015
hoe/adj	0.8564729	0.82021976	0.8620869	0.88845366	0.8855202	0.8906332	0.81996346	0.6865758	0.8272743	0.80414164	0.90360975	0.8671719	0.7054911	0.9295188	0.85711	0.89365697	0.8421069	0.8921169	0.0	0.85596037	0.89678156	0.8299529	0.82522494	0.8262624	0.73320067	0.66809356	0.46042025	0.7977133	0.7118992	0.8439373	0.839973	0.80856544	0.9044215	0.88476974	0.8460109	0.77571803	0.6906632	0.7627178	0.8721976	0.9178593	0.82916164	0.90395385	0.8648571	0.9108087	0.8854805	0.79458493	0.88128424	0.84832865	0.8995136	0.89980584	0.7827824	0.8748163	0.6119269	0.8181133	0.79429096	0.69707716	0.89073616	0.68462086	0.8010544	0.8402296	0.8581741	0.8662854	0.82213575	0.79453677	0.76876545	0.82190263	0.6445417	0.8391399	0.8598622	0.86424524	0.79104024	0.8966676	0.8003564	0.62702435	0.8610998	0.84193707	0.8204333	0.68642956
kritiek/noun	0.84085095	0.8590847	0.8352908	0.79919624	0.9151826	0.803254	0.86459327	0.8200903	0.88716424	0.9102181	0.9445041	0.93963265	0.7825707	0.86248755	0.90550894	0.8614988	0.8623255	0.80734146	0.85596037	0.0	0.9184565	0.7516852	0.86196834	0.82373655	0.85271895	0.80733305	0.810019	0.8215529	0.8432565	0.81145734	0.83014816	0.8310075	0.9257732	0.7771775	0.7773742	0.84332687	0.82170165	0.89791167	0.9298016	0.9435977	0.8983273	0.8975837	0.78453255	0.88567144	0.81444967	0.84107155	0.8763774	0.9135754	0.84090054	0.8520087	0.8136962	0.6428531	0.83897316	0.8580847	0.79603976	0.8752301	0.86252093	0.7900313	0.80033183	0.84395206	0.86636907	0.839772	0.87317264	0.85335517	0.8404516	0.8847071	0.7965464	0.86752826	0.87880445	0.88666403	0.66250545	0.859483	0.85664827	0.7799121	0.9233684	0.8047648	0.8702667	0.8637588
thee/noun	0.89518225	0.8417029	0.90914595	0.9358592	0.6071825	0.88986284	0.93055135	0.84348464	0.9003533	0.8769343	0.9414231	0.6947293	0.8440512	0.9346878	0.92248243	0.9444352	0.91482836	0.87804914	0.89678156	0.9184565	0.0	0.89378184	0.85446465	0.92289996	0.8098614	0.87568504	0.84637135	0.9052738	0.9166567	0.9062232	0.8735272	0.94114375	0.86800295	0.9334141	0.9565934	0.8852494	0.84648556	0.82847697	0.89036894	0.9131155	0.7713321	0.9163067	0.91783893	0.78348005	0.92782736	0.89815885	0.9270681	0.9253366	0.9285402	0.94441825	0.9133537	0.92680657	0.8674802	0.88190156	0.8494121	0.9409564	0.93446046	0.94550186	0.87678	0.91491175	0.9185534	0.9425338	0.88781154	0.8701966	0.909943	0.8201712	0.91486055	0.8816171	0.8751963	0.91767776	0.86262465	0.8806145	0.89082605	0.84850436	0.9085085	0.90765536	0.6105858	0.91879034
invloed/noun	0.8780274	0.83451194	0.8462485	0.8882685	0.8984798	0.86405253	0.89228755	0.8228266	0.82880604	0.82388085	0.9270572	0.91464686	0.78331196	0.8305044	0.84305596	0.8488227	0.8471608	0.86961293	0.8299529	0.7516852	0.89378184	0.0	0.7947375	0.704239	0.70256937	0.80107117	0.8654324	0.68465364	0.64651436	0.68428695	0.8099705	0.62657225	0.9436955	0.8510579	0.852072	0.5474784	0.7887113	0.86629087	0.9170848	0.9236049	0.80334973	0.9033202	0.7605109	0.92982686	0.9196303	0.7919227	0.86383426	0.8322103	0.81117535	0.8001987	0.7169584	0.83706343	0.8689492	0.75553846	0.8370421	0.9372972	0.7961017	0.8540878	0.7004887	0.71623147	0.8281392	0.8042469	0.8625139	0.7961714	0.8048036	0.7733386	0.859916	0.85797554	0.8032597	0.8711848	0.82160395	0.83526087	0.7504346	0.77509916	0.8771419	0.7490266	0.77976406	0.83213323
samenstelling/noun	0.8788629	0.84644544	0.8813401	0.8974656	0.8607936	0.89660174	0.8868194	0.82564914	0.82979804	0.84088814	0.9010065	0.86229146	0.7531438	0.8513062	0.9037559	0.83457303	0.80689967	0.9094631	0.82522494	0.86196834	0.85446465	0.7947375	0.0	0.7658367	0.6940857	0.83265185	0.84004027	0.7867534	0.7655105	0.888002	0.7975012	0.8713589	0.89913076	0.7964373	0.74682593	0.7872197	0.85117674	0.8157759	0.906021	0.9273098	0.74387765	0.9405965	0.8917194	0.9128166	0.914642	0.8850354	0.83395183	0.8941987	0.85683393	0.88096964	0.73845625	0.83165014	0.87783647	0.86236024	0.8830216	0.9249188	0.80424744	0.85369223	0.7660393	0.862303	0.7987248	0.8066072	0.84989053	0.766147	0.8621802	0.84246117	0.85078967	0.90147096	0.8114023	0.8440947	0.8112722	0.872498	0.701342	0.7813681	0.84783465	0.8819696	0.8077428	0.8478544
verschuiving/noun	0.8519256	0.8176023	0.8166646	0.8246801	0.88617384	0.8408917	0.8725803	0.796466	0.80174476	0.8341738	0.9019356	0.8910916	0.7373566	0.6861674	0.85060793	0.807827	0.8179465	0.8742023	0.8262624	0.82373655	0.92289996	0.704239	0.7658367	0.0	0.7757948	0.7580888	0.8309995	0.6778649	0.5855537	0.79756165	0.8137235	0.71442235	0.88564265	0.8654939	0.850067	0.66824365	0.75687957	0.8523232	0.9196617	0.892264	0.8565271	0.8816139	0.7720652	0.92527753	0.8553455	0.75842744	0.69044316	0.8519107	0.8027749	0.7630797	0.74138486	0.83463496	0.83989865	0.7955501	0.8365666	0.8879565	0.8230364	0.82339096	0.7175761	0.80079496	0.81639755	0.75809336	0.8051978	0.734879	0.73145974	0.8325875	0.7985332	0.8727969	0.80393785	0.8214816	0.7749952	0.79484046	0.7739272	0.75962204	0.8386523	0.8266942	0.7995947	0.7976277
eigenschap/noun	0.8884963	0.7947571	0.8377253	0.9264419	0.81883097	0.8639522	0.8466393	0.6619032	0.80588394	0.75779825	0.9135986	0.81240857	0.67978555	0.8798669	0.8619298	0.9069539	0.788344	0.8643571	0.73320067	0.85271895	0.8098614	0.70256937	0.6940857	0.7757948	0.0	0.69776857	0.71672666	0.67300785	0.64602625	0.7698792	0.8111093	0.83243877	0.89046395	0.84210664	0.88300276	0.6747123	0.7127762	0.83094406	0.87136436	0.9004197	0.64504826	0.9220389	0.8602472	0.8941613	0.90991473	0.8274723	0.8823627	0.86666036	0.84217846	0.87082887	0.71680194	0.8940875	0.7391811	0.7674883	0.79772466	0.8226881	0.73947775	0.8218142	0.72236234	0.67337394	0.80661124	0.8141391	0.7969981	0.64186406	0.76158553	0.73468554	0.75569075	0.8440047	0.73965883	0.82099926	0.7791244	0.8473875	0.676486	0.6395271	0.816735	0.7942739	0.686355	0.7549823
