	word/verb	die/pron	produceer/verb	vier/num	als/prep	zoals/comp	per/prep	hard/adj	hoogwaardig/adj	46/num	blijk/verb	hoeveelheid/noun	aangekocht/adj	Waals/adj	allerlei/det	genomen/adj	bedek/verb	verdacht/adj	enkel/det	waarin/pp	chirurgisch/adj	representatief/adj	naar/prep	puur/adj	hoop/noun	stuk/noun	uit/prep	klein/adj	magnetisch/adj	nieuw/adj	met/adv	die/det	lichtgewicht/adj	neem/verb	lading/noun	afdeling/noun	stel_vrij/verb	ton/noun	acht/num	importeer/verb	roest_vrij/adj	vloeibaar/adj	in/prep	berg/noun	pak/noun	Japan/det	positief/adj	het/det	waardoor/pp	ben/verb	buitenlands/adj	boven_haal/verb	met/prep	ruw/adj	verschil/adj	kilo/noun	goedkoop/adj	op/prep	door/prep	val_samen/verb	maak/verb	gebruikelijk/adj	geïmporteerd/adj	verroest/adj	zacht/adj	licht/adj	boven/prep	ambachtelijk/adj	gemanipuleerd/adj	dat/pron	dik/adj	minder/det	alle/det	voor/prep	analyseer/verb	van/prep	zuiver/adj	deel_uit/verb	krijg_binnen/verb	doorboor/verb	plat/adj	zoals/prep	verwrongen/adj	waar/adv	rond/adj	eis/verb	gepantserd/adj	verbrand/adj	een/det	waarvan/pp	gelakt/adj	slinger_rond/adj	minder/adj	meer/det	onderzoek/verb	elk/det
word/verb	0.0	0.6263999	0.8213336	0.76572293	0.79210246	0.79748386	0.7995915	0.8422915	0.8086884	0.90391856	0.81973696	0.7440007	0.79513323	0.8034512	0.71739507	0.74724364	0.87002194	0.7050608	0.7283149	0.77663213	0.77740145	0.8374893	0.8380522	0.8779129	0.86592656	0.7991804	0.8415977	0.85476315	0.8301626	0.7682767	0.8152544	0.67323864	0.88880825	0.90630066	0.75152284	0.8236276	0.84460807	0.76020974	0.7659431	0.8255103	0.8660995	0.7924141	0.8209984	0.83577645	0.86265624	0.88307613	0.8377245	0.7595873	0.6414044	0.78382576	0.7978389	0.86252874	0.7955079	0.7693354	0.73032284	0.8128176	0.8160043	0.8272821	0.5541385	0.8635398	0.8589865	0.7939162	0.82448304	0.87323034	0.8591366	0.82729596	0.8893237	0.8304375	0.7732239	0.70752525	0.88841736	0.79814285	0.7079221	0.78807044	0.75938255	0.8435104	0.8319205	0.872359	0.8276095	0.8681069	0.84380746	0.8187084	0.86120164	0.8008522	0.88360786	0.8311912	0.81689656	0.7939831	0.76913685	0.7813262	0.9369831	0.88369143	0.8222837	0.8314216	0.78677833	0.7524024
die/pron	0.6263999	0.0	0.7132403	0.71387076	0.54215145	0.5951832	0.8083674	0.819525	0.72094375	0.86475456	0.7643496	0.73858047	0.7966129	0.74910396	0.53652686	0.7214466	0.79915965	0.654068	0.62519956	0.5639103	0.78210187	0.7138516	0.8396261	0.75362045	0.7966479	0.8233672	0.68874156	0.7225794	0.7615667	0.7104266	0.66799915	0.5407835	0.839302	0.8628708	0.725368	0.80655736	0.7532319	0.79904777	0.73021054	0.71679413	0.84953433	0.7758725	0.76767695	0.7668291	0.7781824	0.8262776	0.82321227	0.8715158	0.6468321	0.7273804	0.63430035	0.79642105	0.67684984	0.7505013	0.5640318	0.80519104	0.74661505	0.83036965	0.543795	0.7818165	0.81359595	0.6949653	0.77470624	0.8528412	0.8075536	0.80272055	0.8243195	0.74597347	0.74960375	0.6203908	0.8045205	0.671998	0.58447224	0.6950052	0.69979954	0.6741097	0.7203655	0.78587043	0.74079293	0.81889904	0.7847545	0.52127683	0.7763365	0.66419315	0.82066244	0.7440634	0.7889285	0.77445877	0.5712129	0.6195604	0.8660083	0.8617604	0.76828885	0.6534993	0.7336316	0.6740404
produceer/verb	0.8213336	0.7132403	0.0	0.84625256	0.83575904	0.70535505	0.7424537	0.8874024	0.6331658	0.90921396	0.825747	0.5015074	0.7373538	0.8618782	0.72088516	0.7710783	0.7683953	0.8129355	0.84296906	0.7707717	0.8442216	0.8540423	0.89239883	0.8091782	0.8974932	0.7368064	0.78187424	0.72222424	0.7857012	0.76903796	0.83199155	0.8092381	0.81172633	0.92228633	0.6689074	0.82979023	0.86812115	0.60068333	0.86500335	0.51894623	0.73044235	0.583537	0.852561	0.81500757	0.80703545	0.86548585	0.914136	0.8224235	0.65169156	0.85943884	0.84737074	0.7874399	0.74519587	0.6854664	0.74848443	0.63399816	0.57146245	0.85017204	0.81749403	0.87577957	0.7787211	0.8096809	0.6514214	0.79826593	0.73709476	0.7562032	0.8120861	0.70770884	0.6603059	0.6872453	0.77135235	0.65444255	0.78608423	0.8024785	0.7709455	0.7896918	0.7060013	0.81644547	0.7170053	0.8388266	0.75597775	0.6339034	0.846754	0.80290806	0.83509606	0.9124139	0.8614426	0.7736048	0.7397709	0.6621634	0.8326771	0.83203757	0.7127949	0.7422626	0.8063414	0.80621976
vier/num	0.76572293	0.71387076	0.84625256	0.0	0.822721	0.89742833	0.67690945	0.90558064	0.8940713	0.6965085	0.8870824	0.83788335	0.8452784	0.8318348	0.8779806	0.84352636	0.8510794	0.76405096	0.6094141	0.80510336	0.88815963	0.87437356	0.85481274	0.92162234	0.91812545	0.85998476	0.7704829	0.7895942	0.8886153	0.8632521	0.8857592	0.8468974	0.86615825	0.9003105	0.81396097	0.8576159	0.853653	0.80516607	0.19007778	0.85843533	0.88427746	0.8478544	0.74676883	0.841557	0.8256389	0.9009147	0.9237244	0.8671351	0.7820376	0.88230515	0.8594847	0.84295243	0.75012714	0.8562295	0.7226519	0.76272047	0.8778103	0.77419657	0.7848033	0.8807938	0.9409795	0.83003193	0.88502306	0.85470676	0.9070703	0.8374974	0.8067164	0.9037401	0.90818995	0.8177478	0.82390624	0.79528105	0.754452	0.77452564	0.8796331	0.78175044	0.8931911	0.8170488	0.8330855	0.8352535	0.8463018	0.8469354	0.9010628	0.79511523	0.8191392	0.8021101	0.8074832	0.8372566	0.6894171	0.6706917	0.9131767	0.8960776	0.82902586	0.790895	0.8577739	0.6928372
als/prep	0.79210246	0.54215145	0.83575904	0.822721	0.0	0.61313236	0.9277799	0.8719386	0.78976655	0.8951177	0.872667	0.88882244	0.8540529	0.7665985	0.7213024	0.82569027	0.86800385	0.8155518	0.7904687	0.7015523	0.8780398	0.76274526	0.89539087	0.76052856	0.8646241	0.83736855	0.79497755	0.82028526	0.8756679	0.7787665	0.740033	0.7834471	0.87404	0.894414	0.85516036	0.83536255	0.8259556	0.9133464	0.82796943	0.8222891	0.9068875	0.8715342	0.8589909	0.8698051	0.8491403	0.8461127	0.85091096	0.8262249	0.8352373	0.7197482	0.73331535	0.8505461	0.8059115	0.8366941	0.7393446	0.90455407	0.8413631	0.8997897	0.75293267	0.8203025	0.84330165	0.76785624	0.854199	0.9002615	0.85392815	0.8843958	0.89019895	0.7979305	0.83357906	0.74974006	0.8760315	0.8279407	0.7516167	0.71123046	0.78183496	0.71392095	0.74246323	0.8388132	0.8668633	0.89115167	0.8384316	0.5938672	0.83850056	0.79197305	0.86977315	0.84176886	0.8940176	0.905123	0.65703106	0.7818227	0.9075344	0.9389706	0.8213017	0.8426528	0.8463268	0.77845824
zoals/comp	0.79748386	0.5951832	0.70535505	0.89742833	0.61313236	0.0	0.8908437	0.8569262	0.6915319	0.9448695	0.8389741	0.7535619	0.815521	0.82219326	0.54763865	0.7951939	0.8387579	0.8147069	0.7791373	0.6237508	0.7959858	0.7584268	0.9001532	0.71220887	0.8827858	0.77732956	0.774843	0.7638378	0.79933065	0.7519001	0.72095186	0.74225414	0.8691067	0.91601956	0.7878799	0.7901652	0.81722075	0.8508334	0.9144102	0.73327243	0.8522129	0.7980198	0.81878644	0.8539095	0.8506621	0.85191476	0.87162745	0.7806963	0.74635243	0.7682332	0.7991514	0.84755063	0.7805718	0.7891758	0.6494522	0.8485728	0.7238813	0.8945721	0.78571606	0.7710645	0.8287035	0.7139634	0.7807857	0.8852739	0.7722626	0.8241053	0.8787529	0.70459986	0.7456883	0.689187	0.8596278	0.7216442	0.69117165	0.7470193	0.7342669	0.74816203	0.6826598	0.8595831	0.81477565	0.8860838	0.784773	0.33357257	0.83481854	0.7729778	0.8405242	0.8632534	0.88971883	0.8616774	0.6983135	0.70613754	0.8642595	0.88323605	0.7351594	0.771977	0.7753651	0.7528912
per/prep	0.7995915	0.8083674	0.7424537	0.67690945	0.9277799	0.8908437	0.0	0.91496134	0.85515255	0.71213555	0.8885109	0.70295227	0.8068199	0.9078658	0.85782635	0.8314836	0.89480937	0.81347585	0.7464234	0.8649451	0.9121927	0.90024245	0.8284574	0.9006742	0.9412223	0.8540932	0.8650015	0.8094236	0.89526737	0.8603789	0.88535917	0.8292471	0.8933177	0.89950025	0.79728013	0.90691817	0.78272	0.6087902	0.65162563	0.7906199	0.87976235	0.77727425	0.87606806	0.8661676	0.835149	0.9162263	0.9227073	0.86102736	0.73934543	0.9261169	0.85803616	0.8512903	0.7976023	0.7934238	0.8199699	0.6574128	0.6841219	0.81479114	0.8809953	0.9079134	0.9257222	0.83066887	0.8080646	0.8820805	0.9057369	0.8359784	0.7562781	0.90056646	0.895322	0.84060466	0.8426392	0.59776455	0.79729706	0.7745957	0.89088583	0.8118738	0.86647683	0.8178613	0.7145276	0.91127634	0.8600966	0.845541	0.9247778	0.8439102	0.87127274	0.87418693	0.83056617	0.86524975	0.76443326	0.74643683	0.92404884	0.8634018	0.7004419	0.6750498	0.91009295	0.6431899
hard/adj	0.8422915	0.819525	0.8874024	0.90558064	0.8719386	0.8569262	0.91496134	0.0	0.8903609	0.9440961	0.8880478	0.87929475	0.93125325	0.87106013	0.84247744	0.87001336	0.8544248	0.90151906	0.84582496	0.86185205	0.8956749	0.9174127	0.88951397	0.84187865	0.9049843	0.8531269	0.86596394	0.8838786	0.87749696	0.8907421	0.84040785	0.7913717	0.9080658	0.919724	0.88869095	0.93882054	0.89729095	0.9086753	0.90109044	0.8913896	0.86741656	0.8802226	0.89227617	0.85188866	0.86993086	0.91880995	0.84860414	0.86050093	0.7818516	0.8469736	0.9148734	0.8783463	0.8097912	0.7700008	0.89154255	0.8899659	0.8953835	0.84556067	0.801546	0.89268136	0.89025325	0.85949093	0.907665	0.9075127	0.7436938	0.8190733	0.8717349	0.8806288	0.90134543	0.8936751	0.83615	0.8498635	0.873781	0.86930203	0.8668078	0.8670298	0.8006047	0.85085696	0.9020647	0.8951634	0.7751372	0.84661514	0.8723257	0.8798066	0.82370734	0.8797437	0.9019267	0.8746191	0.81297904	0.9137879	0.92427063	0.92494655	0.81351346	0.8514719	0.91107833	0.8346666
hoogwaardig/adj	0.8086884	0.72094375	0.6331658	0.8940713	0.78976655	0.6915319	0.85515255	0.8903609	0.0	0.9443622	0.8564042	0.7120912	0.74434185	0.8530092	0.68244755	0.81595993	0.8615175	0.8709793	0.84472966	0.76602924	0.79867905	0.79617655	0.87702817	0.7797005	0.8927914	0.78114074	0.8228127	0.804403	0.79856586	0.71366763	0.7448077	0.7841802	0.78859067	0.9100885	0.7792083	0.73521346	0.8273169	0.7690102	0.89410704	0.71147525	0.74204475	0.73140347	0.8258558	0.86211646	0.8374194	0.8238081	0.87937945	0.8037041	0.6996362	0.80990136	0.7800077	0.8627515	0.79570574	0.7387811	0.72453415	0.80274796	0.6242012	0.8549114	0.82118094	0.8316193	0.808075	0.78366256	0.76800436	0.88031316	0.8043528	0.8408115	0.8854768	0.6544297	0.7520795	0.7037544	0.8626689	0.7202755	0.7478484	0.7168517	0.77627337	0.7324699	0.70612895	0.88912946	0.81536573	0.9023739	0.80160815	0.6082988	0.8682768	0.82096237	0.8723328	0.88501215	0.86404824	0.8618984	0.74069536	0.74759823	0.85524464	0.8984318	0.768762	0.73985916	0.8299545	0.8247361
46/num	0.90391856	0.86475456	0.90921396	0.6965085	0.8951177	0.9448695	0.71213555	0.9440961	0.9443622	0.0	0.9029505	0.89845955	0.9186876	0.9121226	0.9353708	0.89109033	0.9378499	0.9059405	0.86474484	0.9198375	0.9333137	0.8884358	0.9231737	0.94279516	0.96114826	0.90794975	0.91040075	0.9151079	0.93842256	0.9357892	0.91647196	0.9287954	0.9451248	0.9395832	0.9298854	0.93082	0.91232735	0.85140353	0.6519456	0.90056854	0.9459299	0.9220817	0.9056063	0.9320776	0.90016836	0.9439092	0.937996	0.9109304	0.8684174	0.93316305	0.92333245	0.9215597	0.86919594	0.90341747	0.9141712	0.8594066	0.89976686	0.8840517	0.8973941	0.92485094	0.9625698	0.9056599	0.93134785	0.9486621	0.94764674	0.8657241	0.8439082	0.95108277	0.9205942	0.9138046	0.8802321	0.7997583	0.86906374	0.9000475	0.90568084	0.8460019	0.89997274	0.89916575	0.8860322	0.9453509	0.94046676	0.913955	0.9619055	0.9324491	0.9370635	0.9081882	0.9355228	0.9364156	0.86191183	0.82606065	0.9406939	0.9777051	0.8480081	0.8221653	0.93902695	0.8695303
blijk/verb	0.81973696	0.7643496	0.825747	0.8870824	0.872667	0.8389741	0.8885109	0.8880478	0.8564042	0.9029505	0.0	0.7544013	0.884574	0.89492893	0.7509266	0.73310065	0.9118353	0.7795672	0.8011669	0.7930669	0.8513957	0.75018424	0.8994555	0.8334125	0.8600352	0.8458419	0.74536026	0.8631321	0.82496107	0.87847686	0.7974288	0.73263943	0.9299511	0.8841503	0.79304063	0.89785343	0.9119114	0.8827082	0.8874483	0.8489554	0.9425478	0.86595637	0.85485196	0.9048705	0.90430695	0.91194916	0.80512124	0.81289417	0.73383284	0.627846	0.8664042	0.8521137	0.827525	0.8491846	0.81612587	0.8613652	0.86263657	0.89676416	0.8166691	0.82439065	0.7882379	0.8001331	0.8737433	0.911371	0.90908694	0.8520556	0.9144924	0.8771606	0.79652464	0.79729164	0.8878148	0.8043249	0.7709293	0.8172441	0.71358347	0.7672174	0.8298642	0.88766205	0.77926594	0.89794487	0.9027594	0.78777885	0.89633495	0.9102558	0.9180536	0.873593	0.9197241	0.87978554	0.7100595	0.78311414	0.95603496	0.91340446	0.7863016	0.8212573	0.67703426	0.8426144
hoeveelheid/noun	0.7440007	0.73858047	0.5015074	0.83788335	0.88882244	0.7535619	0.70295227	0.87929475	0.7120912	0.89845955	0.7544013	0.0	0.7858351	0.89263994	0.6982994	0.7022858	0.7551182	0.7260066	0.79584056	0.8048773	0.8469383	0.87191486	0.89113635	0.8165204	0.8552395	0.729547	0.7803575	0.7545514	0.7412368	0.83814657	0.81555283	0.75339955	0.8423904	0.877127	0.5123666	0.8680129	0.8691037	0.46583354	0.8415029	0.61170095	0.80444324	0.511487	0.8349426	0.73203754	0.7541224	0.8750323	0.8900101	0.81839484	0.5898647	0.80070865	0.84373075	0.75460654	0.7221034	0.6704125	0.76000106	0.47600728	0.64545405	0.8630776	0.7731789	0.86833465	0.8510466	0.79541117	0.6543832	0.7904787	0.7314211	0.73108494	0.8082308	0.7699788	0.70420885	0.7278468	0.75880474	0.6175659	0.7604641	0.8086722	0.755828	0.80029035	0.69592893	0.7998313	0.6858581	0.8378244	0.78205633	0.67200255	0.83556193	0.8156836	0.8593384	0.896467	0.84616	0.73448074	0.7488597	0.72393966	0.85377634	0.80083835	0.7172126	0.7016737	0.7755147	0.8047173
aangekocht/adj	0.79513323	0.7966129	0.7373538	0.8452784	0.8540529	0.815521	0.8068199	0.93125325	0.74434185	0.9186876	0.884574	0.7858351	0.0	0.8595387	0.8125063	0.8224151	0.88735366	0.85779655	0.8400937	0.8338399	0.88560516	0.84515923	0.87530774	0.8921957	0.9296368	0.78954357	0.8365767	0.8074635	0.88538957	0.7981231	0.8657319	0.83843726	0.8856558	0.9321821	0.8345532	0.85947	0.86726314	0.806397	0.8553364	0.77604026	0.85319185	0.8164102	0.84737384	0.86823636	0.8882655	0.91143227	0.91953063	0.8307557	0.7881807	0.87251145	0.8153442	0.8678733	0.8379705	0.83158696	0.78969085	0.8517145	0.7474468	0.8672157	0.8586552	0.8997711	0.8808437	0.8544158	0.8080277	0.8730825	0.8896965	0.8920921	0.88282347	0.7877382	0.8558521	0.7694159	0.9021203	0.8191199	0.82476026	0.7996657	0.84512264	0.7881779	0.854282	0.87738615	0.85869455	0.90222186	0.8470021	0.76824296	0.8996522	0.80854553	0.8774432	0.9179758	0.88631517	0.87628055	0.7830444	0.75262415	0.9096311	0.9115939	0.8623777	0.83882946	0.86827093	0.82812023
Waals/adj	0.8034512	0.74910396	0.8618782	0.8318348	0.7665985	0.82219326	0.9078658	0.87106013	0.8530092	0.9121226	0.89492893	0.89263994	0.8595387	0.0	0.8309361	0.85028106	0.8867253	0.8710494	0.7917894	0.8147094	0.921106	0.82312274	0.86105657	0.8632956	0.8697413	0.89984965	0.8295187	0.83038014	0.92178994	0.7949868	0.7406584	0.798373	0.9268458	0.90247846	0.8892662	0.8125016	0.8644226	0.89512175	0.8418308	0.87495875	0.9293032	0.89364487	0.8166895	0.8576288	0.90209955	0.85741794	0.8597431	0.8245846	0.7919384	0.86610556	0.708038	0.8951681	0.8218546	0.8685209	0.7769395	0.92130005	0.86374414	0.84550154	0.78198224	0.83881104	0.9040349	0.8643004	0.89970005	0.9099279	0.88273764	0.89108324	0.8740891	0.84302753	0.85530674	0.8163222	0.9120885	0.8408893	0.7593748	0.79554516	0.87268865	0.7353865	0.8298295	0.8565236	0.8759621	0.9171347	0.85520816	0.78985196	0.91333514	0.81165355	0.8859056	0.79659736	0.9018694	0.89309186	0.7967521	0.8327013	0.94922364	0.9284747	0.8368456	0.854038	0.8740108	0.8283195
allerlei/det	0.71739507	0.53652686	0.72088516	0.8779806	0.7213024	0.54763865	0.85782635	0.84247744	0.68244755	0.9353708	0.7509266	0.6982994	0.8125063	0.8309361	0.0	0.74835795	0.79975784	0.75672483	0.66037637	0.60217977	0.75767446	0.75097156	0.86048293	0.69699657	0.80008596	0.78605807	0.75389194	0.7301262	0.72794163	0.67609286	0.7315479	0.56779456	0.837031	0.8504781	0.7208625	0.8025498	0.8095012	0.8097677	0.88180506	0.7812177	0.82135165	0.76307905	0.8025131	0.81037194	0.77453035	0.8587997	0.81880075	0.76661456	0.64346004	0.7462241	0.76289576	0.80639464	0.6670283	0.75670475	0.44679356	0.8316317	0.72529763	0.80945873	0.7139552	0.77249527	0.76451516	0.6338658	0.78054786	0.838382	0.7836797	0.79484594	0.87037385	0.7000421	0.70180017	0.6364926	0.82761025	0.7283554	0.5156162	0.7110852	0.66918874	0.7236724	0.68497604	0.8035724	0.7625601	0.87810284	0.7585805	0.47127062	0.7996365	0.7648449	0.7768945	0.86588085	0.8583058	0.81724215	0.605739	0.6698178	0.86163175	0.8600637	0.785764	0.7265178	0.7070714	0.6417941
genomen/adj	0.74724364	0.7214466	0.7710783	0.84352636	0.82569027	0.7951939	0.8314836	0.87001336	0.81595993	0.89109033	0.73310065	0.7022858	0.8224151	0.85028106	0.74835795	0.0	0.8413809	0.7561271	0.7777114	0.77528626	0.86319953	0.79826903	0.8706665	0.8343662	0.8787512	0.80569416	0.79128194	0.815649	0.8390338	0.84758806	0.78869486	0.7324656	0.8872625	0.59742284	0.7409419	0.8812394	0.84089255	0.7727412	0.8358345	0.7771239	0.86161464	0.8116228	0.8086069	0.8164433	0.8551118	0.87605697	0.83924574	0.7848137	0.70849013	0.77984565	0.80922526	0.81776446	0.7765252	0.78892756	0.7950496	0.7709427	0.80305684	0.8422636	0.7573382	0.84004825	0.83912367	0.784169	0.8003366	0.85621953	0.83341205	0.8125538	0.8247194	0.84159106	0.7944257	0.7729272	0.864524	0.78089744	0.72082824	0.79706186	0.76950675	0.74692893	0.7783271	0.8108486	0.8021183	0.8494961	0.8296231	0.731233	0.84808236	0.8201705	0.87545955	0.78438085	0.8508371	0.8206125	0.7199804	0.7674893	0.9121581	0.87129354	0.80828637	0.7917103	0.7682646	0.80478764
bedek/verb	0.87002194	0.79915965	0.7683953	0.8510794	0.86800385	0.8387579	0.89480937	0.8544248	0.8615175	0.9378499	0.9118353	0.7551182	0.88735366	0.8867253	0.79975784	0.8413809	0.0	0.8602581	0.8413883	0.7857173	0.8520419	0.88721585	0.8561374	0.85032415	0.8564865	0.70395994	0.7412015	0.74578524	0.80994356	0.87283826	0.92153347	0.8249615	0.84793717	0.9017384	0.7408712	0.90649503	0.93772095	0.7539182	0.8791139	0.8237007	0.7411487	0.6780075	0.78643495	0.6177551	0.6604798	0.9212513	0.9636402	0.7966051	0.71377844	0.8824573	0.93751556	0.79763824	0.6968696	0.70942533	0.839572	0.72326255	0.8599392	0.7562741	0.80016583	0.85592306	0.87535703	0.832461	0.8349605	0.72317517	0.586552	0.7397466	0.6271285	0.8014647	0.85544646	0.800497	0.46126598	0.8636173	0.84296477	0.8926172	0.866135	0.8195883	0.80012715	0.79107296	0.8361549	0.7218429	0.57984084	0.7879844	0.75528294	0.7574488	0.61966324	0.9388609	0.8261435	0.62047446	0.7094401	0.77856827	0.67249745	0.7953757	0.8619311	0.88488436	0.8734892	0.82595706
verdacht/adj	0.7050608	0.654068	0.8129355	0.76405096	0.8155518	0.8147069	0.81347585	0.90151906	0.8709793	0.9059405	0.7795672	0.7260066	0.85779655	0.8710494	0.75672483	0.7561271	0.8602581	0.0	0.72983825	0.8074199	0.87398136	0.8571357	0.8549324	0.86618704	0.89641523	0.8845486	0.79064506	0.831129	0.8605739	0.87869537	0.83860356	0.81710005	0.9249784	0.8917927	0.6945196	0.90028644	0.8661525	0.80189943	0.78183025	0.78563553	0.92355686	0.79020303	0.8145967	0.8491257	0.8574763	0.8970583	0.879807	0.8307949	0.779762	0.8627011	0.7914755	0.85694766	0.8198517	0.8211734	0.7655624	0.7513803	0.8483623	0.8614295	0.72175974	0.8510671	0.89929366	0.80646825	0.7911604	0.85948944	0.8868963	0.8609658	0.8920832	0.8823736	0.7967224	0.7990078	0.8794213	0.8158611	0.72980976	0.8490312	0.7937066	0.74059385	0.8444162	0.8414231	0.74565876	0.85471684	0.8636761	0.7493131	0.87681776	0.7906596	0.89513475	0.78945243	0.8252581	0.7830086	0.7518232	0.7418403	0.9222922	0.8499907	0.8655379	0.81050706	0.6137529	0.7820472
