	dans/noun	opgaaf/noun	avontuur/noun	bijzonder/adj	parkoers/noun	toestand/noun	plotseling/adj	impasse/noun	hoe/adj	even/adj	toch/adv	zo/adv	zo/adj	klus/noun	veiligheid_situatie/noun	het/det	toer/noun	exercitie/noun	meest/adj	bestaan/noun	moment/noun	soms/adv	strijd/noun	tocht/noun	voorspel/verb	kwestie/noun	stand_DIM/noun	reis/noun	oversteek/noun	behoorlijk/adj	sport/noun	zaak/noun	vergelijk/verb	koor/noun	rit/noun	standpunt/noun	genoeg/adv	wat/adv	omstandigheid/noun	positie/noun	prognose/noun	opdracht/noun	poging/noun	uiterst/adj	besluit/noun	onderweg/adj	even/adv	op/adj	operatie/noun	structuur/noun	publicitair/adj	trek_aan/verb	onderneming/noun	tafereel/noun	al/adv	dat/det	onderwerp/noun	steeds/adv	situatie/noun	capriool/noun	stunt_werk/noun	onderdeel/noun
dans/noun	0.0	0.89844286	0.72851974	0.7329929	0.8362164	0.89349216	0.8365692	0.8884858	0.84505767	0.8525651	0.87806803	0.826263	0.85031015	0.91442376	0.9482784	0.83034104	0.7776226	0.89186656	0.7660923	0.82512385	0.864239	0.669219	0.9140906	0.8338818	0.93747234	0.860765	0.7974998	0.8387583	0.8977396	0.8253229	0.6889932	0.9274045	0.8357618	0.6620415	0.9313706	0.88109	0.8441587	0.7967354	0.90729105	0.93423784	0.93335074	0.9131206	0.90360093	0.7807857	0.9430068	0.8552029	0.7471833	0.91937333	0.92165655	0.7575851	0.89667755	0.8949943	0.9175331	0.6790506	0.93904227	0.8823496	0.74278545	0.8362159	0.9141175	0.8290658	0.8738042	0.83141136
opgaaf/noun	0.89844286	0.0	0.8681797	0.849587	0.8081753	0.86054724	0.8393365	0.8595397	0.8107659	0.86073667	0.8126036	0.79714435	0.86295134	0.74082243	0.8917779	0.8623742	0.890386	0.8613421	0.86027086	0.88021344	0.865237	0.7946834	0.8582874	0.89559364	0.8423698	0.8132373	0.8985102	0.8872309	0.9087392	0.82636034	0.8808303	0.8394996	0.8589784	0.9051817	0.81831557	0.83640134	0.8393366	0.8465927	0.7926767	0.827562	0.82985836	0.7148837	0.87666225	0.8262995	0.8465415	0.8741226	0.8213627	0.8832962	0.80935705	0.8255315	0.89398	0.9219815	0.8504941	0.85676706	0.8739929	0.79549235	0.82508963	0.8443065	0.81675696	0.8934684	0.90657264	0.85675305
avontuur/noun	0.72851974	0.8681797	0.0	0.77171016	0.8146808	0.8133695	0.7955753	0.8383376	0.7827141	0.8235027	0.7405766	0.78175145	0.8240473	0.8367621	0.9141598	0.8379508	0.7568404	0.8082996	0.77629876	0.7753008	0.77861017	0.6867844	0.8300571	0.685632	0.8832887	0.87110204	0.8124709	0.6390312	0.7835009	0.8135401	0.80789226	0.8741708	0.8601749	0.8464487	0.8281596	0.8885356	0.82280636	0.8063153	0.83137083	0.90295523	0.8851732	0.853507	0.81709075	0.787667	0.89324105	0.7994062	0.7271447	0.8809614	0.7867476	0.8569729	0.8800087	0.89816993	0.8250197	0.6657967	0.8902725	0.8262251	0.78013736	0.81696784	0.8253603	0.7924557	0.84942174	0.8852239
bijzonder/adj	0.7329929	0.849587	0.77171016	0.0	0.8180471	0.80702406	0.79998285	0.8704233	0.6865758	0.76042145	0.6875025	0.5854292	0.60030687	0.8341051	0.9035275	0.8267708	0.8193334	0.8281173	0.5868803	0.79573584	0.7737852	0.5959234	0.876628	0.8195025	0.87320113	0.80881685	0.8500206	0.82898873	0.8852278	0.6008148	0.75868636	0.8291891	0.8159217	0.7978368	0.91850716	0.8414661	0.6170314	0.6257093	0.7824574	0.8630446	0.8626203	0.8293361	0.86880624	0.4269817	0.84660834	0.8681605	0.5618131	0.89195955	0.85267985	0.74643576	0.82202566	0.8815794	0.83489263	0.710352	0.88423264	0.7848289	0.7189681	0.69800174	0.7897201	0.84433734	0.86933005	0.8130857
parkoers/noun	0.8362164	0.8081753	0.8146808	0.8180471	0.0	0.86040044	0.81675154	0.91448116	0.871085	0.8085918	0.8288316	0.820074	0.8389067	0.79925305	0.9272967	0.83656996	0.8109282	0.8937217	0.8416285	0.9039312	0.8605067	0.7764429	0.921458	0.6262758	0.8782362	0.9105311	0.81038415	0.8082932	0.7783991	0.7795493	0.8392136	0.89084303	0.8806905	0.86831117	0.65408784	0.88259405	0.82736933	0.78650194	0.7787832	0.8592428	0.8840123	0.82716686	0.9131082	0.82469386	0.9163671	0.7254496	0.7891731	0.88807815	0.8758504	0.7935642	0.8898417	0.90337586	0.9139518	0.79502076	0.87129176	0.8574642	0.84122735	0.86937666	0.8398404	0.85758245	0.85254246	0.8516277
toestand/noun	0.89349216	0.86054724	0.8133695	0.80702406	0.86040044	0.0	0.8177135	0.79129297	0.7580786	0.864932	0.8283508	0.7670639	0.76134276	0.88507473	0.68939996	0.813246	0.860357	0.85271025	0.7960548	0.80950534	0.80763805	0.73003566	0.8926646	0.86707664	0.85158056	0.78994644	0.90036845	0.8773184	0.8810144	0.78527325	0.89784133	0.75031507	0.87830025	0.90383434	0.92649806	0.82545817	0.81306005	0.8285301	0.605387	0.7799287	0.81176376	0.8864106	0.85789543	0.748438	0.8573891	0.87406653	0.7560121	0.90105796	0.8031583	0.7564396	0.9168235	0.92723745	0.8581112	0.72451115	0.8897068	0.7879811	0.81408745	0.7969167	0.321411	0.8653268	0.9166217	0.9043324
plotseling/adj	0.8365692	0.8393365	0.7955753	0.79998285	0.81675154	0.8177135	0.0	0.8186321	0.7791423	0.63723177	0.7681955	0.75826234	0.7619052	0.88165903	0.8704992	0.7735884	0.8110456	0.91625845	0.8074488	0.82740754	0.68681663	0.6300955	0.85581124	0.8027019	0.7899849	0.84870803	0.8636911	0.85127956	0.8596486	0.7353165	0.83592314	0.8666063	0.85367024	0.8353531	0.87276185	0.8743499	0.8189062	0.72424185	0.81598026	0.87632227	0.8679576	0.91841197	0.8360964	0.80997413	0.8598156	0.70539576	0.66493404	0.8620788	0.8564717	0.8417263	0.86664724	0.8834703	0.87628156	0.7239882	0.8154176	0.83302855	0.8277152	0.68085897	0.82434225	0.8370812	0.90126634	0.8841645
impasse/noun	0.8884858	0.8595397	0.8383376	0.8704233	0.91448116	0.79129297	0.8186321	0.0	0.86106527	0.8980458	0.8746995	0.8653724	0.8914228	0.9061079	0.86175525	0.8381707	0.86870146	0.86506593	0.8666256	0.8527514	0.89075565	0.8187394	0.7856152	0.8653823	0.856343	0.7653084	0.9220122	0.8872182	0.90723675	0.8758056	0.9005534	0.8443574	0.9080057	0.9143889	0.91992134	0.82554257	0.9013571	0.9042535	0.85025585	0.81881	0.88646644	0.86445034	0.75155735	0.81593245	0.815616	0.8901531	0.85890114	0.90442663	0.8165463	0.8106687	0.88589424	0.9281573	0.85927117	0.8609859	0.8582858	0.85277027	0.8158479	0.8390628	0.74403584	0.91207445	0.91160744	0.8934538
hoe/adj	0.84505767	0.8107659	0.7827141	0.6865758	0.871085	0.7580786	0.7791423	0.86106527	0.0	0.7224097	0.65711296	0.46042025	0.5978287	0.8465265	0.8632167	0.839973	0.88762665	0.85890335	0.74466807	0.8065432	0.7579662	0.59668154	0.89278156	0.87356377	0.8751862	0.78571945	0.8860687	0.85631144	0.8752317	0.74017066	0.8320607	0.784533	0.82238257	0.89256537	0.9367117	0.7988231	0.6149422	0.6931691	0.73856556	0.85181075	0.87459683	0.8478975	0.8571242	0.6724254	0.88297546	0.8619412	0.65358204	0.89546245	0.8659148	0.78232574	0.88392836	0.9163924	0.8716885	0.729476	0.8333854	0.6445417	0.7507739	0.6756848	0.67857814	0.83415484	0.8923515	0.8853718
even/adj	0.8525651	0.86073667	0.8235027	0.76042145	0.8085918	0.864932	0.63723177	0.8980458	0.7224097	0.0	0.5987869	0.6284292	0.73847616	0.8119453	0.924938	0.8356404	0.83637965	0.9151877	0.83393455	0.86939806	0.70014197	0.60091305	0.92767984	0.81642663	0.8999122	0.84120864	0.82330936	0.84088415	0.86632425	0.72621703	0.8749816	0.84344506	0.90907794	0.8648749	0.8704846	0.88783073	0.714252	0.5558713	0.84606296	0.9208559	0.88090134	0.90650225	0.8668716	0.76314104	0.8930359	0.72540605	0.54204595	0.837945	0.88300663	0.8861269	0.87799203	0.91750854	0.93843234	0.77595854	0.8264494	0.79930115	0.85234743	0.7574066	0.85058045	0.8500213	0.8775216	0.92737913
toch/adv	0.87806803	0.8126036	0.7405766	0.6875025	0.8288316	0.8283508	0.7681955	0.8746995	0.65711296	0.5987869	0.0	0.5625212	0.70761925	0.7735651	0.8858583	0.83835787	0.82727545	0.8365248	0.7633299	0.8229977	0.7152985	0.5599884	0.8965963	0.87180305	0.84679323	0.84269583	0.85476565	0.8458914	0.877127	0.6183425	0.7999608	0.82774127	0.869564	0.89677924	0.89367193	0.84208	0.6416955	0.55675554	0.76799303	0.85991603	0.78577054	0.85771936	0.8358507	0.7328887	0.84555405	0.8130157	0.6968829	0.85014534	0.87239325	0.8497182	0.84338677	0.8810717	0.8824278	0.7801906	0.7343401	0.5321194	0.827418	0.6893066	0.75975937	0.8103386	0.82149625	0.91493934
zo/adv	0.826263	0.79714435	0.78175145	0.5854292	0.820074	0.7670639	0.75826234	0.8653724	0.46042025	0.6284292	0.5625212	0.0	0.40209943	0.78263843	0.87729967	0.83733696	0.8219225	0.8700659	0.68725693	0.80049956	0.75921226	0.5204554	0.8954049	0.8421032	0.8457305	0.83037907	0.8394214	0.8455978	0.86173713	0.6430048	0.78762704	0.79639906	0.8767111	0.85084796	0.89791524	0.7713335	0.49374473	0.52224755	0.7536944	0.82967013	0.8400248	0.83121586	0.86101174	0.5984546	0.8562439	0.85233957	0.5296818	0.87529564	0.86383355	0.7684203	0.84477794	0.9014617	0.8512077	0.70415884	0.7827919	0.62415373	0.745282	0.6383034	0.7150022	0.80104125	0.8872529	0.88531935
zo/adj	0.85031015	0.86295134	0.8240473	0.60030687	0.8389067	0.76134276	0.7619052	0.8914228	0.5978287	0.73847616	0.70761925	0.40209943	0.0	0.8564457	0.895396	0.8802092	0.8473028	0.9009294	0.75078833	0.8588347	0.77879584	0.5517212	0.91400534	0.87024766	0.88870555	0.85594165	0.8995907	0.8826451	0.88210136	0.59171927	0.85037947	0.8738547	0.88391346	0.87281275	0.90378	0.8566971	0.6161812	0.5909988	0.7966244	0.87686306	0.89102745	0.89701027	0.8826229	0.6194883	0.89872366	0.90566003	0.5857818	0.9027363	0.8696943	0.784028	0.90024316	0.9238481	0.90714705	0.7553046	0.8658289	0.77535653	0.81693816	0.63034487	0.75823075	0.84300286	0.90543514	0.8976452
klus/noun	0.91442376	0.74082243	0.8367621	0.8341051	0.79925305	0.88507473	0.88165903	0.9061079	0.8465265	0.8119453	0.7735651	0.78263843	0.8564457	0.0	0.93326557	0.863327	0.85175383	0.8895867	0.85645485	0.8999759	0.87175345	0.80468	0.89319026	0.856669	0.89212924	0.8464042	0.877233	0.85709953	0.86916256	0.8282189	0.8853416	0.7894219	0.91959333	0.89458525	0.85703707	0.9234289	0.8489254	0.8174424	0.83682376	0.8953541	0.9066767	0.6138375	0.9068981	0.8303971	0.9012214	0.87568057	0.82466865	0.89309615	0.7567379	0.8685014	0.88688	0.89927745	0.8652195	0.87683195	0.86493593	0.81651074	0.84309757	0.85206205	0.8534368	0.8814499	0.8647903	0.8749996
veiligheid_situatie/noun	0.9482784	0.8917779	0.9141598	0.9035275	0.9272967	0.68939996	0.8704992	0.86175525	0.8632167	0.924938	0.8858583	0.87729967	0.895396	0.93326557	0.0	0.8532994	0.9397768	0.8943266	0.87777174	0.87787855	0.88871557	0.88375145	0.9050304	0.92111146	0.90760815	0.825049	0.94027704	0.9004621	0.91094995	0.8902665	0.93942827	0.8035097	0.92538834	0.94327545	0.94723845	0.8473061	0.9136108	0.8966117	0.79558134	0.8065548	0.8663199	0.88916755	0.90301114	0.841202	0.81576157	0.92356044	0.8985647	0.94400024	0.8534979	0.8310451	0.9134545	0.94471323	0.8758712	0.91578144	0.90252054	0.8299847	0.85521865	0.84439725	0.66409224	0.9366227	0.9320709	0.8984473
het/det	0.83034104	0.8623742	0.8379508	0.8267708	0.83656996	0.813246	0.7735884	0.8381707	0.839973	0.8356404	0.83835787	0.83733696	0.8802092	0.863327	0.8532994	0.0	0.85278445	0.87988627	0.8483898	0.8176322	0.8563794	0.8086531	0.8283098	0.8037101	0.8166295	0.82706296	0.85215455	0.83970314	0.8669665	0.7991816	0.83139074	0.84106994	0.79940355	0.8491925	0.8786732	0.8399533	0.887607	0.83557355	0.84982383	0.8588791	0.83128357	0.83115363	0.84544605	0.8247361	0.83632874	0.8192092	0.8204075	0.8991812	0.83330524	0.7837279	0.8230659	0.8800778	0.78854215	0.815939	0.8701854	0.6877321	0.83720565	0.8151214	0.8631007	0.8822824	0.89563024	0.77448094
toer/noun	0.7776226	0.890386	0.7568404	0.8193334	0.8109282	0.860357	0.8110456	0.86870146	0.88762665	0.83637965	0.82727545	0.8219225	0.8473028	0.85175383	0.9397768	0.85278445	0.0	0.87627566	0.80899936	0.87205404	0.86259115	0.74374735	0.89313054	0.8172012	0.89633983	0.8727314	0.8324633	0.8008999	0.85293305	0.78118736	0.84319067	0.8862096	0.89144415	0.8483483	0.8951386	0.87455016	0.8241565	0.7807981	0.8674779	0.88578415	0.90385294	0.8924	0.8857222	0.78902024	0.9270258	0.81562597	0.7746207	0.8887093	0.87173164	0.8435111	0.88241434	0.86757344	0.8623742	0.7976605	0.86293405	0.89012325	0.83491826	0.81103987	0.8885265	0.8138623	0.8580861	0.83106565
exercitie/noun	0.89186656	0.8613421	0.8082996	0.8281173	0.8937217	0.85271025	0.91625845	0.86506593	0.85890335	0.9151877	0.8365248	0.8700659	0.9009294	0.8895867	0.8943266	0.87988627	0.87627566	0.0	0.8526556	0.86075664	0.87946385	0.78768784	0.8932389	0.85713905	0.89502555	0.797261	0.9178785	0.85816294	0.91105646	0.86390007	0.8805102	0.8599595	0.8977365	0.9328867	0.9213033	0.8193912	0.8509156	0.85426474	0.8562371	0.897479	0.91038436	0.8923125	0.8575671	0.7910873	0.83623886	0.92841303	0.82920116	0.9317404	0.795138	0.8454689	0.8920243	0.94761306	0.85419375	0.8614853	0.90493006	0.81491673	0.8178072	0.8863275	0.8197632	0.89619786	0.89477825	0.8966296
meest/adj	0.7660923	0.86027086	0.77629876	0.5868803	0.8416285	0.7960548	0.8074488	0.8666256	0.74466807	0.83393455	0.7633299	0.68725693	0.75078833	0.85645485	0.87777174	0.8483898	0.80899936	0.8526556	0.0	0.79837674	0.81123984	0.6807718	0.8603495	0.849702	0.8034207	0.84038484	0.8431539	0.8262267	0.8355956	0.7383222	0.7967815	0.85317886	0.7833159	0.81334305	0.92997503	0.7856823	0.68437827	0.7877364	0.7752664	0.7967778	0.8080667	0.847253	0.8547788	0.5866455	0.88220817	0.8434238	0.61521137	0.85562485	0.8426546	0.792599	0.8629639	0.7951304	0.77464175	0.70964384	0.8737503	0.8199321	0.7222863	0.6663854	0.7775816	0.81208175	0.86679196	0.78690505
bestaan/noun	0.82512385	0.88021344	0.7753008	0.79573584	0.9039312	0.80950534	0.82740754	0.8527514	0.8065432	0.86939806	0.8229977	0.80049956	0.8588347	0.8999759	0.87787855	0.8176322	0.87205404	0.86075664	0.79837674	0.0	0.83385634	0.76488787	0.8309324	0.81026566	0.8915384	0.85086095	0.9024152	0.831	0.87910485	0.841258	0.83512735	0.8410607	0.8835302	0.84081554	0.9224877	0.8442367	0.85778534	0.8251657	0.79388475	0.7662143	0.88253963	0.8767669	0.8369454	0.79779434	0.8824434	0.8851672	0.7938161	0.854411	0.8721502	0.7829186	0.8968191	0.92828053	0.8402646	0.7657129	0.88037014	0.8249586	0.8220974	0.786034	0.78866017	0.8945722	0.8972084	0.85160226
moment/noun	0.864239	0.865237	0.77861017	0.7737852	0.8605067	0.80763805	0.68681663	0.89075565	0.7579662	0.70014197	0.7152985	0.75921226	0.77879584	0.87175345	0.88871557	0.8563794	0.86259115	0.87946385	0.81123984	0.83385634	0.0	0.6725825	0.90940535	0.8597665	0.8762169	0.84412706	0.89038056	0.8318033	0.9007751	0.8156308	0.8724085	0.85128176	0.92571074	0.887382	0.88349915	0.9068276	0.79798365	0.78967774	0.7499728	0.83435667	0.88818586	0.89408696	0.87527096	0.7765685	0.8720457	0.84107137	0.7062302	0.91129965	0.8674847	0.8757814	0.90238965	0.9477492	0.9094756	0.7467873	0.84423244	0.8172123	0.7936962	0.7828972	0.76782656	0.89861786	0.9028276	0.89535177
soms/adv	0.669219	0.7946834	0.6867844	0.5959234	0.7764429	0.73003566	0.6300955	0.8187394	0.59668154	0.60091305	0.5599884	0.5204554	0.5517212	0.80468	0.88375145	0.8086531	0.74374735	0.78768784	0.6807718	0.76488787	0.6725825	0.0	0.85478324	0.76217365	0.8465345	0.7795883	0.8066463	0.7909375	0.84674317	0.5693169	0.8116186	0.82975256	0.8203761	0.76667243	0.88667	0.803977	0.6152456	0.48897582	0.71594626	0.8716295	0.8465308	0.86149895	0.82358986	0.58782494	0.86590147	0.74874455	0.5068428	0.84711945	0.8343979	0.74762595	0.8378532	0.86592096	0.9027185	0.571794	0.80917645	0.6513168	0.7093031	0.60795164	0.7068287	0.73368	0.8147741	0.877978
strijd/noun	0.9140906	0.8582874	0.8300571	0.876628	0.921458	0.8926646	0.85581124	0.7856152	0.89278156	0.92767984	0.8965963	0.8954049	0.91400534	0.89319026	0.9050304	0.8283098	0.89313054	0.8932389	0.8603495	0.8309324	0.90940535	0.85478324	0.0	0.8389701	0.8644699	0.7758826	0.93893147	0.8631619	0.90104026	0.89621204	0.87208414	0.8418238	0.885934	0.9054736	0.87402666	0.8191406	0.9129826	0.9212035	0.88872045	0.82077944	0.8981888	0.8811613	0.75203824	0.8373323	0.88017267	0.90878147	0.8555382	0.9096349	0.7727215	0.871802	0.86535025	0.92820644	0.8638819	0.88917905	0.85127234	0.9235846	0.84363425	0.8234632	0.89501566	0.92925894	0.90965486	0.87038475
tocht/noun	0.8338818	0.89559364	0.685632	0.8195025	0.6262758	0.86707664	0.8027019	0.8653823	0.87356377	0.81642663	0.87180305	0.8421032	0.87024766	0.856669	0.92111146	0.8037101	0.8172012	0.85713905	0.849702	0.81026566	0.8597665	0.76217365	0.8389701	0.0	0.89391696	0.9153967	0.8179519	0.49742454	0.6936002	0.8348175	0.8554942	0.91241926	0.9135484	0.83697003	0.65711236	0.92372155	0.86036944	0.8248471	0.8381654	0.93107074	0.9216095	0.8745828	0.8460232	0.8269341	0.9131309	0.62267995	0.77074766	0.8704556	0.78689367	0.8970815	0.8883882	0.9175773	0.88674664	0.73321474	0.8670894	0.89287984	0.8588213	0.8827378	0.89062274	0.84762436	0.8841772	0.89445853
voorspel/verb	0.93747234	0.8423698	0.8832887	0.87320113	0.8782362	0.85158056	0.7899849	0.856343	0.8751862	0.8999122	0.84679323	0.8457305	0.88870555	0.89212924	0.90760815	0.8166295	0.89633983	0.89502555	0.8034207	0.8915384	0.8762169	0.8465345	0.8644699	0.89391696	0.0	0.9096634	0.9249655	0.9156335	0.9183782	0.8236859	0.91971177	0.9072136	0.75617045	0.90291023	0.889091	0.88838106	0.88515604	0.8517102	0.84602714	0.86359745	0.57377183	0.87949604	0.8734984	0.8362247	0.8824721	0.9074323	0.8627974	0.9333204	0.8642784	0.88817126	0.89032656	0.85822135	0.803475	0.87510216	0.8307657	0.8475313	0.90669036	0.83803886	0.8681458	0.9439955	0.90151167	0.8981743
kwestie/noun	0.860765	0.8132373	0.87110204	0.80881685	0.9105311	0.78994644	0.84870803	0.7653084	0.78571945	0.84120864	0.84269583	0.83037907	0.85594165	0.8464042	0.825049	0.82706296	0.8727314	0.797261	0.84038484	0.85086095	0.84412706	0.7795883	0.7758826	0.9153967	0.9096634	0.0	0.8910457	0.90282667	0.93447524	0.8223839	0.8065997	0.54093254	0.87647915	0.92128	0.952441	0.66266024	0.84724087	0.81750536	0.8087555	0.8137795	0.8853506	0.8398091	0.84415174	0.7747336	0.763165	0.9243942	0.8450328	0.9133322	0.8263866	0.74143374	0.8574716	0.9232396	0.84677285	0.85713166	0.8879677	0.8006829	0.5154981	0.80288583	0.74530363	0.9137116	0.92430556	0.8158823
stand_DIM/noun	0.7974998	0.8985102	0.8124709	0.8500206	0.81038415	0.90036845	0.8636911	0.9220122	0.8860687	0.82330936	0.85476565	0.8394214	0.8995907	0.877233	0.94027704	0.85215455	0.8324633	0.9178785	0.8431539	0.9024152	0.89038056	0.8066463	0.93893147	0.8179519	0.9249655	0.8910457	0.0	0.83356833	0.8953032	0.8559269	0.8389003	0.8809102	0.8812251	0.8626039	0.9206046	0.888367	0.8591747	0.8243258	0.8838376	0.89520574	0.92297524	0.8736132	0.9278912	0.8620018	0.91944194	0.791147	0.8271048	0.9058342	0.898123	0.8699465	0.87683666	0.88514507	0.88593346	0.7985151	0.8993043	0.88203406	0.81154585	0.8694217	0.8947658	0.8652363	0.90698075	0.8712322
reis/noun	0.8387583	0.8872309	0.6390312	0.82898873	0.8082932	0.8773184	0.85127956	0.8872182	0.85631144	0.84088415	0.8458914	0.8455978	0.8826451	0.85709953	0.9004621	0.83970314	0.8008999	0.85816294	0.8262267	0.831	0.8318033	0.7909375	0.8631619	0.49742454	0.9156335	0.90282667	0.83356833	0.0	0.7530743	0.8563632	0.842948	0.8867235	0.8941095	0.8763153	0.7409142	0.92125523	0.872836	0.8332645	0.8641106	0.921512	0.91417754	0.8658388	0.8680969	0.83874345	0.8981048	0.6958953	0.8292403	0.87292284	0.77021116	0.917181	0.91376966	0.9052008	0.865466	0.8094463	0.83262026	0.8783076	0.8519831	0.8454362	0.9014271	0.88298917	0.9052665	0.8944834
oversteek/noun	0.8977396	0.9087392	0.7835009	0.8852278	0.7783991	0.8810144	0.8596486	0.90723675	0.8752317	0.86632425	0.877127	0.86173713	0.88210136	0.86916256	0.91094995	0.8669665	0.85293305	0.91105646	0.8355956	0.87910485	0.9007751	0.84674317	0.90104026	0.6936002	0.9183782	0.93447524	0.8953032	0.7530743	0.0	0.8854046	0.8877336	0.91777736	0.9170446	0.9262127	0.8294611	0.929268	0.91362953	0.87679243	0.8456927	0.90869	0.8911823	0.89509547	0.86101377	0.881567	0.9458197	0.7674225	0.86195785	0.89436704	0.8401135	0.92766345	0.9097342	0.8982761	0.8976618	0.8755452	0.8848621	0.87767005	0.90362966	0.8622877	0.8836455	0.8646221	0.89927924	0.9057689
behoorlijk/adj	0.8253229	0.82636034	0.8135401	0.6008148	0.7795493	0.78527325	0.7353165	0.8758056	0.74017066	0.72621703	0.6183425	0.6430048	0.59171927	0.8282189	0.8902665	0.7991816	0.78118736	0.86390007	0.7383222	0.841258	0.8156308	0.5693169	0.89621204	0.8348175	0.8236859	0.8223839	0.8559269	0.8563632	0.8854046	0.0	0.7991049	0.85508347	0.82922405	0.8528878	0.85578346	0.85868406	0.667271	0.4959824	0.7770902	0.82929397	0.8183377	0.86789185	0.87316793	0.6366936	0.87300885	0.8200334	0.6563696	0.8906404	0.83008665	0.78111297	0.8481282	0.85810864	0.8122673	0.7888265	0.81566155	0.7300103	0.8306364	0.6585028	0.7955054	0.8497915	0.82968897	0.8571279
